side,zscore_threshold,stop_points,target_points,horizon_bars,windows,total_trades,total_points,mean_window_points,median_window_points,mean_win_rate,median_win_rate,mean_profit_factor,median_profit_factor,mean_mfe,mean_mae,mean_holding_bars,positive_window_ratio
LONG,1.5,5.0,5.0,10,22,114102,-80312.75,-3650.5795454545455,-2693.75,0.4142527117144954,0.4290421295522494,0.7701343239396784,0.8087191620499063,20.42134339159185,20.956622405485675,1.8668873381112314,0.045454545454545456
LONG,1.5,5.0,5.0,20,22,114102,-80500.25,-3659.1022727272725,-2645.875,0.42460462225498685,0.4424569464032251,0.7702285415127349,0.8121788035146766,28.673025001179088,29.76039457321167,2.067292831597896,0.0
LONG,1.5,5.0,5.0,30,22,114102,-80377.75,-3653.534090909091,-2631.875,0.4277736342995498,0.44817587481016563,0.7708690354508986,0.8133244621335434,34.88624104586515,36.62383322282271,2.1519222574900505,0.0
LONG,1.5,5.0,5.0,60,22,114102,-80137.25,-3642.6022727272725,-2625.0,0.4304756633631976,0.44868266580955746,0.7718305004230199,0.8138636780172078,49.06046832691539,51.364175189625136,2.2458814564234975,0.0
LONG,1.5,5.0,5.0,120,22,114085,-80106.0,-3641.181818181818,-2625.0,0.43097055802302947,0.44868266580955746,0.7718536154332825,0.8138636780172078,73.32765926014294,75.6189563924616,2.2817629737104084,0.0
LONG,1.5,5.0,10.0,10,22,114102,-27657.5,-1257.159090909091,-562.875,0.2844637577982288,0.2996854658501574,0.9348621365516444,0.962320500323135,20.42134339159185,20.956622405485675,2.585739013031213,0.3181818181818182
LONG,1.5,5.0,10.0,20,22,114102,-27851.0,-1265.9545454545455,-750.125,0.3028963905586272,0.3131137235759685,0.9348692336960269,0.9538803456823621,28.673025001179088,29.76039457321167,3.062630310521584,0.22727272727272727
LONG,1.5,5.0,10.0,30,22,114102,-27554.5,-1252.4772727272727,-662.625,0.3094698937652762,0.31883315632892634,0.9359615528416061,0.960255037891971,34.88624104586515,36.62383322282271,3.295703385802878,0.22727272727272727
LONG,1.5,5.0,10.0,60,22,114102,-27531.0,-1251.409090909091,-702.625,0.3150686945912884,0.3211233699345972,0.9361961252520214,0.9576551876508144,49.06046832691539,51.364175189625136,3.598631578349631,0.2727272727272727
LONG,1.5,5.0,10.0,120,22,114085,-27698.25,-1259.0113636363637,-692.5,0.31721226457566726,0.3225769809556138,0.9356483238147497,0.9582701284342945,73.32765926014294,75.6189563924616,3.765823285552818,0.22727272727272727
LONG,1.5,5.0,15.0,10,22,114102,-10548.25,-479.46590909090907,-202.875,0.20083322744206075,0.2133983360757707,0.9805913633807777,0.9888603201168416,20.42134339159185,20.956622405485675,3.0733950118856446,0.4090909090909091
LONG,1.5,5.0,15.0,20,22,114102,-10425.75,-473.89772727272725,-394.875,0.22408267984920768,0.2344680016620676,0.9798354807920115,0.9770814088828392,28.673025001179088,29.76039457321167,3.794506849511885,0.4090909090909091
LONG,1.5,5.0,15.0,30,22,114102,-9130.0,-415.0,-268.125,0.23216525373222446,0.23972017261680129,0.9831493810285288,0.9858978269903164,34.88624104586515,36.62383322282271,4.178313683538949,0.45454545454545453
LONG,1.5,5.0,15.0,60,22,114102,-8451.5,-384.15909090909093,-229.75,0.24179582463939467,0.2450140620696612,0.984856041204733,0.9883261344530763,49.06046832691539,51.364175189625136,4.7326764100494385,0.4090909090909091
LONG,1.5,5.0,15.0,120,22,114085,-7917.0,-359.8636363636364,-228.625,0.24556014548283553,0.24618626886792325,0.9860723482538863,0.9884221252159373,73.32765926014294,75.6189563924616,5.0677439489358225,0.45454545454545453
LONG,1.5,5.0,20.0,10,22,114102,4.75,0.2159090909090909,138.625,0.14593973430482912,0.15826750946972745,1.0057905536078737,1.007505210880465,20.42134339159185,20.956622405485675,3.405204809030214,0.5909090909090909
LONG,1.5,5.0,20.0,20,22,114102,3033.0,137.86363636363637,219.0,0.17326146789349206,0.18682195227532375,1.0108648803110691,1.010933059502507,28.673025001179088,29.76039457321167,4.352127801066422,0.5909090909090909
LONG,1.5,5.0,20.0,30,22,114102,5659.25,257.2386363636364,597.0,0.18349018910374523,0.19344312584801038,1.0169022760271178,1.0291372264432264,34.88624104586515,36.62383322282271,4.877518339525994,0.6363636363636364
LONG,1.5,5.0,20.0,60,22,114102,6704.0,304.72727272727275,627.25,0.19484512518710584,0.20282449790646512,1.018962536898865,1.029262589006195,49.06046832691539,51.364175189625136,5.689566737271794,0.6363636363636364
LONG,1.5,5.0,20.0,120,22,114085,8500.75,386.39772727272725,707.5,0.20090886647268838,0.20428440205189186,1.0229082757529258,1.0341640430276793,73.32765926014294,75.6189563924616,6.242011361461687,0.6818181818181818
LONG,1.5,5.0,25.0,10,22,114102,1922.25,87.375,297.25,0.10622853774458797,0.11277066562169913,1.010409597476403,1.0160230262623022,20.42134339159185,20.956622405485675,3.6298662800219645,0.6818181818181818
LONG,1.5,5.0,25.0,20,22,114102,5584.25,253.82954545454547,455.75,0.13449811318117713,0.14517819776585836,1.0162155552921777,1.0211089247255332,28.673025001179088,29.76039457321167,4.786974733370105,0.6363636363636364
LONG,1.5,5.0,25.0,30,22,114102,9563.25,434.6931818181818,705.125,0.14634004805027478,0.1556262471150968,1.0249648238036635,1.0338360921145355,34.88624104586515,36.62383322282271,5.457869407548562,0.6818181818181818
LONG,1.5,5.0,25.0,60,22,114102,11028.5,501.29545454545456,710.625,0.159913371875836,0.16594808074371914,1.027785377956407,1.0361005975131974,49.06046832691539,51.364175189625136,6.523152227683824,0.6818181818181818
LONG,1.5,5.0,25.0,120,22,114085,12780.75,580.9431818181819,979.125,0.16719142134049056,0.16971591064855313,1.0313695906160132,1.0460087717137414,73.32765926014294,75.6189563924616,7.308752849593494,0.7272727272727273
LONG,1.5,5.0,35.0,10,22,114102,8648.75,393.125,509.25,0.06021397901583636,0.0632273496677411,1.025386379503944,1.0276517735745418,20.42134339159185,20.956622405485675,3.880138565354204,0.7272727272727273
LONG,1.5,5.0,35.0,20,22,114102,13168.0,598.5454545454545,717.125,0.08558167295505202,0.0904935065801791,1.0320158719498933,1.0340173581134273,28.673025001179088,29.76039457321167,5.348817049707318,0.6818181818181818
LONG,1.5,5.0,35.0,30,22,114102,21402.25,972.8295454545455,1478.75,0.09844834029216219,0.1086657044152325,1.049152404712021,1.07123575177421,34.88624104586515,36.62383322282271,6.2672718107347745,0.6818181818181818
LONG,1.5,5.0,35.0,60,22,114102,25444.5,1156.5681818181818,1657.375,0.11568108065279126,0.1210553425159816,1.0564649785031344,1.076985410287146,49.06046832691539,51.364175189625136,7.834913409026041,0.6818181818181818
LONG,1.5,5.0,35.0,120,22,114085,29352.5,1334.2045454545455,1933.0,0.12550085736346064,0.1291933001297226,1.0639159319990321,1.089289682852226,73.32765926014294,75.6189563924616,9.100459969198248,0.7272727272727273
