window,direction,horizon_bars,observations,mean_future_points,median_future_points,mean_future_points_after_cost,mean_mfe_points,median_mfe_points,mean_mae_points,median_mae_points,positive_probability,cost_covered_probability,validation_start,validation_end
1,long_reversion,1,3814,0.437139486103828,-1.0,-0.6728605138961719,6.212047718930257,2.75,-2.4233088620870475,-3.25,0.34976402726796013,0.25904562139486104,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,3,3812,1.3239769150052465,-3.5,0.21397691500524663,13.055846879916098,4.5,-8.354745673833246,-7.5,0.291710388247639,0.25839454354669467,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,5,3810,2.2202755905511813,-5.75,1.1102755905511814,18.50275301520713,6.0,-12.995149449396958,-11.0,0.3036745406824147,0.29396325459317585,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,10,3805,4.467739816031537,-7.0,3.3577398160315375,29.683206607236496,11.0,-22.560894074462507,-18.0,0.4147174770039422,0.40446780551905387,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,20,3795,9.033333333333333,-2.75,7.923333333333334,46.570201887781856,23.0,-37.232498689040376,-28.25,0.4766798418972332,0.466403162055336,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,30,3785,13.494649933949802,3.0,12.384649933949802,60.22496067121133,33.5,-48.79706345044573,-34.5,0.5202113606340819,0.5128137384412154,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,long_reversion,60,3755,26.059454061251664,27.0,24.949454061251664,94.00799685369691,68.125,-75.40665967488201,-50.0,0.5821571238348868,0.5784287616511318,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,1,4425,-0.39028248587570624,-1.0,-1.5002824858757062,4.2472316384180795,2.0,-2.506497175141243,-2.75,0.3163841807909605,0.20203389830508475,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,3,4423,-1.1616549853040923,-3.25,-2.2716549853040924,8.842768361581921,3.0,-7.566779661016949,-6.0,0.22812570653402667,0.18923807370562967,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,5,4421,-1.933046821985976,-5.75,-3.0430468219859756,12.489209039548022,3.75,-11.709209039548023,-9.0,0.22981225966975796,0.21533589685591495,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,10,4416,-3.851392663043478,-10.75,-4.961392663043478,19.790677966101693,5.5,-20.47491525423729,-15.5,0.2907608695652174,0.2798913043478261,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,20,4406,-7.645823876532002,-15.5,-8.755823876532002,30.394915254237286,8.75,-34.540169491525425,-26.0,0.3011802088061734,0.28778937812074445,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,30,4396,-11.322054140127388,-21.5,-12.432054140127388,38.81954802259887,12.0,-46.344519774011296,-35.75,0.29913557779799815,0.293221110100091,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
1,short_reversion,60,4366,-22.409814475492443,-40.75,-23.519814475492442,58.909209039548024,19.75,-75.2625988700565,-66.75,0.31126889601465874,0.3080622995877233,2021-05-06 09:30:00-04:00,2021-08-06 09:30:00-04:00
2,long_reversion,1,3891,0.3139295810845541,-1.0,-0.7960704189154457,6.463377023901311,3.0,-2.5792855307118994,-3.5,0.35697764070932925,0.259059367771781,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,3,3889,0.9388017485214708,-3.75,-0.17119825147852907,13.268439989719866,4.75,-8.698792084297096,-7.75,0.2782206222679352,0.24530727693494472,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,5,3887,1.5665037303833291,-6.25,0.45650373038332925,18.746594705731173,5.75,-13.575751734772552,-11.5,0.28968356058657063,0.27682016979675844,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,10,3882,3.160870685213807,-8.75,2.050870685213807,30.084425597532768,9.25,-23.94159599074788,-19.75,0.384080370942813,0.3732612055641422,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,20,3872,6.379584194214876,-3.75,5.269584194214875,47.6810588537651,20.5,-39.754369056797735,-31.0,0.47365702479338845,0.46616735537190085,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,30,3862,9.733557742102537,-0.875,8.623557742102538,61.92893857620149,32.75,-51.957273194551526,-40.25,0.49508026929052307,0.4904194717762817,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,long_reversion,60,3832,20.079853862212943,6.0,18.969853862212943,96.8192624004112,62.0,-79.523644307376,-65.75,0.5198329853862212,0.5159185803757829,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,1,4443,-0.2743641683547153,-1.0,-1.3843641683547152,4.96393202790907,2.25,-2.6658789106459597,-2.75,0.32590591942381275,0.22462300247580463,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
2,short_reversion,3,4441,-0.8413645575320874,-3.5,-1.9513645575320873,10.140614449696152,3.25,-8.111692550078775,-6.75,0.24003602792163928,0.20468362981310514,2021-08-06 09:30:00-04:00,2021-11-06 09:30:00-04:00
