condition,condition_value,horizon_bars,windows_observed,positive_return_windows,negative_return_windows,positive_window_ratio,negative_window_ratio
zscore_30,-1.0:0,1,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,-1.0:0,3,22,11,11,0.5,0.5
zscore_30,-1.0:0,5,22,11,11,0.5,0.5
zscore_30,-1.0:0,10,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,-1.0:0,20,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,-1.0:0,30,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,-1.0:0,60,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-1.5:-1.0,1,22,10,12,0.45454545454545453,0.5454545454545454
zscore_30,-1.5:-1.0,3,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,-1.5:-1.0,5,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-1.5:-1.0,10,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,-1.5:-1.0,20,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-1.5:-1.0,30,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,-1.5:-1.0,60,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-2.0:-1.5,1,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,-2.0:-1.5,3,22,11,11,0.5,0.5
zscore_30,-2.0:-1.5,5,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,-2.0:-1.5,10,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,-2.0:-1.5,20,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-2.0:-1.5,30,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,-2.0:-1.5,60,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,-2.5:-2.0,1,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,-2.5:-2.0,3,22,18,4,0.8181818181818182,0.18181818181818182
zscore_30,-2.5:-2.0,5,22,17,5,0.7727272727272727,0.22727272727272727
zscore_30,-2.5:-2.0,10,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-2.5:-2.0,20,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,-2.5:-2.0,30,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,-2.5:-2.0,60,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,0:1.0,1,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,0:1.0,3,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,0:1.0,5,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,0:1.0,10,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,0:1.0,20,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,0:1.0,30,22,16,6,0.7272727272727273,0.2727272727272727
zscore_30,0:1.0,60,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,1.0:1.5,1,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,1.0:1.5,3,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,1.0:1.5,5,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,1.0:1.5,10,22,17,5,0.7727272727272727,0.22727272727272727
zscore_30,1.0:1.5,20,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,1.0:1.5,30,22,16,6,0.7272727272727273,0.2727272727272727
zscore_30,1.0:1.5,60,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,1.5:2.0,1,22,9,13,0.4090909090909091,0.5909090909090909
zscore_30,1.5:2.0,3,22,11,11,0.5,0.5
zscore_30,1.5:2.0,5,22,11,11,0.5,0.5
zscore_30,1.5:2.0,10,22,14,8,0.6363636363636364,0.36363636363636365
zscore_30,1.5:2.0,20,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,1.5:2.0,30,22,15,7,0.6818181818181818,0.3181818181818182
zscore_30,1.5:2.0,60,22,16,6,0.7272727272727273,0.2727272727272727
zscore_30,2.0:2.5,1,22,11,11,0.5,0.5
zscore_30,2.0:2.5,3,22,11,11,0.5,0.5
zscore_30,2.0:2.5,5,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,2.0:2.5,10,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,2.0:2.5,20,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,2.0:2.5,30,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,2.0:2.5,60,22,17,5,0.7727272727272727,0.22727272727272727
zscore_30,<=-2.5,1,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,<=-2.5,3,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,<=-2.5,5,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,<=-2.5,10,22,16,6,0.7272727272727273,0.2727272727272727
zscore_30,<=-2.5,20,22,13,9,0.5909090909090909,0.4090909090909091
zscore_30,<=-2.5,30,22,9,13,0.4090909090909091,0.5909090909090909
zscore_30,<=-2.5,60,22,12,10,0.5454545454545454,0.45454545454545453
zscore_30,>=2.5,1,22,10,12,0.45454545454545453,0.5454545454545454
