hmm_state,observations,share,mean_zscore,median_zscore,mean_abs_zscore
0,407621,0.493657027771016,0.10694333421557228,0.20085791,1.0756153529917005
1,240988,0.29185301986031537,0.026825565823180075,0.08800213,1.1414759617801349
2,177108,0.2144899523686687,0.008329361470569252,0.0444434395,1.2351549955959737
