candidate,side,hmm_state,vol_bucket,zscore,tp,sl,rr,horizon,observations,wins,losses,conflicts,unresolved,resolved,win_rate_resolved,win_rate_all,expectancy_resolved_r,tp_hit_rate,sl_hit_rate
C1,LONG,0,40-60,2.0,50.0,12.5,4.0,3,5154,20,915,0,4219,935,0.0213903743315508,0.0038804811796662787,-0.893048128342246,0.004074505238649592,0.17753201396973226
A1,LONG,0,20-40,2.0,50.0,12.5,4.0,3,3267,4,442,0,2821,446,0.008968609865470852,0.001224364860728497,-0.9551569506726457,0.001224364860728497,0.13529231711049894
A2_H3,LONG,0,20-40,2.5,50.0,12.5,4.0,3,861,4,144,0,713,148,0.02702702702702703,0.004645760743321719,-0.8648648648648649,0.004645760743321719,0.1672473867595819
A2_H4,LONG,0,20-40,2.5,50.0,12.5,4.0,4,861,4,184,0,673,188,0.02127659574468085,0.004645760743321719,-0.8936170212765957,0.004645760743321719,0.21370499419279906
