side,hmm_state,zscore,volatility_regime,sl_points,tp_points,horizon,aggregate_expectancy_R,aggregate_pf,aggregate_win_rate,observations
LONG,0,1.5,<20,5.0,20.0,10,-0.22416124134201387,0.7346677499569146,0.15516775173159722,48077
LONG,0,1.5,<20,5.0,20.0,20,-0.08386546581525467,0.8973209738209229,0.18322690683694906,48077
LONG,0,1.5,<20,5.0,20.0,30,-0.042577531875948926,0.9473386329139976,0.1914844936248102,48077
LONG,0,1.5,<20,5.0,20.0,60,-0.00544959128065392,0.9931972789115646,0.1989100817438692,48077
LONG,0,1.5,<20,5.0,20.0,120,0.018990369615408564,1.023851197784686,0.20379807392308172,48077
LONG,0,1.5,<20,5.0,25.0,10,-0.3395594567048692,0.6184410424214094,0.11007342388252178,48077
LONG,0,1.5,<20,5.0,25.0,20,-0.14649416560933493,0.8292109219651778,0.14225097239844417,48077
LONG,0,1.5,<20,5.0,25.0,30,-0.07498388002579193,0.911348825771548,0.15416935332903467,48077
LONG,0,1.5,<20,5.0,25.0,60,-0.013956777669155707,0.9832984866587017,0.1643405370551407,48077
LONG,0,1.5,<20,5.0,25.0,120,0.019739168417330477,1.023780885079938,0.16995652806955508,48077
LONG,0,1.5,<20,5.0,35.0,10,-0.5475591239054018,0.41961726707526786,0.05655510951182478,48077
LONG,0,1.5,<20,5.0,35.0,20,-0.2979595232647628,0.6733777190022345,0.08775505959190465,48077
LONG,0,1.5,<20,5.0,35.0,30,-0.1774861160222143,0.8021746186303148,0.10281423549722321,48077
LONG,0,1.5,<20,5.0,35.0,60,-0.039707136468581594,0.9548763768732568,0.12003660794142729,48077
LONG,0,1.5,<20,5.0,35.0,120,0.019697568483890482,1.0225750315859734,0.1274621960604863,48077
LONG,0,1.5,<20,5.0,50.0,10,-0.7387108180626911,0.243315223180995,0.023753561994300808,48077
LONG,0,1.5,<20,5.0,50.0,20,-0.49801360317823495,0.4781727437177168,0.04563512698379683,48077
LONG,0,1.5,<20,5.0,50.0,30,-0.3415146535765543,0.6367397508794442,0.059862304220313245,48077
LONG,0,1.5,<20,5.0,50.0,60,-0.11088462258460385,0.8793645764974769,0.08082867067412693,48077
LONG,0,1.5,<20,5.0,50.0,120,0.03142874971400056,1.0346806215428401,0.09376624997400004,48077
LONG,0,1.5,<20,5.0,75.0,10,-0.8815233895625767,0.11190042119821463,0.007404788152338956,48077
LONG,0,1.5,<20,5.0,75.0,20,-0.7184516504773593,0.2686794689928225,0.017596771845165046,48077
LONG,0,1.5,<20,5.0,75.0,30,-0.5966470453647275,0.3879227568547957,0.025209559664704537,48077
