side,hmm_state,zscore,volatility_regime,sl_points,tp_points,horizon,aggregate_expectancy_R,aggregate_pf,aggregate_win_rate,observations
LONG,0,1.5,<20,5.0,75.0,60,-0.3304074713480458,0.6551611852816672,0.041849533040747136,48077
LONG,0,1.5,<20,5.0,75.0,120,-0.06183830105871835,0.9343099562508286,0.0586351061838301,48077
LONG,0,1.5,<20,5.0,100.0,10,-0.9178817313892298,0.07851489903735723,0.00391039374337001,48077
LONG,0,1.5,<20,5.0,100.0,20,-0.8165442935291304,0.17625952116163418,0.008735986022422364,48077
LONG,0,1.5,<20,5.0,100.0,30,-0.7318052291116334,0.25872785116827846,0.012771179566112694,48077
LONG,0,1.5,<20,5.0,100.0,60,-0.5042327932275308,0.48357547611946655,0.023607962227260436,48077
LONG,0,1.5,<20,5.0,100.0,120,-0.22206044470328845,0.7693969241403145,0.037044740728414835,48077
LONG,0,1.5,<20,5.0,125.0,10,-0.9345633046987124,0.06307865543414796,0.002516795973126443,48077
LONG,0,1.5,<20,5.0,125.0,20,-0.8707490068015891,0.12490070655127723,0.004971192046092726,48077
LONG,0,1.5,<20,5.0,125.0,30,-0.7961187262100381,0.19758909853249476,0.007841587453460074,48077
LONG,0,1.5,<20,5.0,125.0,60,-0.6263077979075233,0.3645591524922973,0.014372777003556794,48077
LONG,0,1.5,<20,5.0,125.0,120,-0.337521059966304,0.6536540595919065,0.025479959232065228,48077
LONG,0,1.5,<20,7.5,20.0,10,-0.27096809978437364,0.6617858317323502,0.198826881876989,48077
LONG,0,1.5,<20,7.5,20.0,20,-0.11523181562909501,0.8481193113279965,0.24130041391933774,48077
LONG,0,1.5,<20,7.5,20.0,30,-0.0668788263272112,0.910291464390008,0.2544875928198515,48077
LONG,0,1.5,<20,7.5,20.0,60,-0.026152491489346952,0.9643895623277066,0.26559477504835993,48077
LONG,0,1.5,<20,7.5,20.0,120,6.933322240110229e-06,1.0000095333428665,0.2727291636333382,48077
LONG,0,1.5,<20,7.5,25.0,10,-0.38844631181923434,0.5477251444993381,0.1411277741955613,48077
LONG,0,1.5,<20,7.5,25.0,20,-0.18312290700334877,0.774337417337366,0.18851009838384258,48077
LONG,0,1.5,<20,7.5,25.0,30,-0.10569849754907057,0.8668151836806012,0.20637726979636833,48077
LONG,0,1.5,<20,7.5,25.0,60,-0.03728740700681543,0.9520626091917139,0.22216444453688874,48077
LONG,0,1.5,<20,7.5,25.0,120,-0.0013242645478432902,0.9982791397500699,0.23046363125819,48077
LONG,0,1.5,<20,7.5,35.0,10,-0.5827526675957317,0.37092754339088846,0.0736318821889885,48077
LONG,0,1.5,<20,7.5,35.0,20,-0.3401834557064708,0.6149862284893712,0.11643821369885808,48077
LONG,0,1.5,<20,7.5,35.0,30,-0.21618792076599336,0.7491088742446553,0.1383197786883541,48077
LONG,0,1.5,<20,7.5,35.0,60,-0.0715657521614631,0.9144112769485905,0.16384133785385943,48077
LONG,0,1.5,<20,7.5,35.0,120,-0.006974922173457854,0.9915430915632673,0.1752397196164486,48077
LONG,0,1.5,<20,7.5,50.0,10,-0.760162517073306,0.21528925915587718,0.03128314994696008,48077
LONG,0,1.5,<20,7.5,50.0,20,-0.539461003529061,0.42606238981463046,0.06007030388751378,48077
LONG,0,1.5,<20,7.5,50.0,30,-0.38477858435426504,0.5816504217644,0.08024627160596542,48077
LONG,0,1.5,<20,7.5,50.0,60,-0.15116029147686694,0.8300198032152938,0.11071822285084344,48077
LONG,0,1.5,<20,7.5,50.0,120,-0.003972793643530093,0.9954340082713777,0.12991659213345258,48077
LONG,0,1.5,<20,7.5,75.0,10,-0.8894897768163571,0.10148338025801572,0.010046383925785718,48077
LONG,0,1.5,<20,7.5,75.0,20,-0.7428292114732616,0.23938832449470748,0.02337916259333985,48077
LONG,0,1.5,<20,7.5,75.0,30,-0.6247686003702393,0.35316665589939056,0.03411194542088733,48077
LONG,0,1.5,<20,7.5,75.0,60,-0.36622501403997754,0.6113845542631381,0.0576159078145475,48077
LONG,0,1.5,<20,7.5,75.0,120,-0.0925806518709571,0.8990954637165333,0.08249266801173118,48077
LONG,0,1.5,<20,7.5,100.0,10,-0.9245723873508469,0.07053641128582581,0.005262391580173472,48077
LONG,0,1.5,<20,7.5,100.0,20,-0.832449334747731,0.15770458451717004,0.011689581296669926,48077
LONG,0,1.5,<20,7.5,100.0,30,-0.7546366592480118,0.232220200053611,0.017118372610603824,48077
LONG,0,1.5,<20,7.5,100.0,60,-0.5420679326913076,0.4400421134053845,0.03194874888200179,48077
LONG,0,1.5,<20,7.5,100.0,120,-0.24900333492799742,0.7372287340679282,0.05239511616781413,48077
LONG,0,1.5,<20,7.5,125.0,10,-0.9415728934833704,0.055302808965315746,0.0033071947084884665,48077
LONG,0,1.5,<20,7.5,125.0,20,-0.882043388730578,0.11202780802412263,0.0066767893171370924,48077
LONG,0,1.5,<20,7.5,125.0,30,-0.8151645624033668,0.17621670099914521,0.010462383260186784,48077
LONG,0,1.5,<20,7.5,125.0,60,-0.659358945025688,0.327677624602333,0.01928156914948936,48077
LONG,0,1.5,<20,7.5,125.0,120,-0.37310286970207507,0.6131705879393012,0.03548474322441084,48077
LONG,0,1.5,<20,10.0,20.0,10,-0.30773550762318774,0.599951328988995,0.23075483079227074,48077
LONG,0,1.5,<20,10.0,20.0,20,-0.1396925764918776,0.8041411490230388,0.28676914116937413,48077
LONG,0,1.5,<20,10.0,20.0,30,-0.08365746614805414,0.8795519885002395,0.30544751128398195,48077
LONG,0,1.5,<20,10.0,20.0,60,-0.0344239449216881,0.9492378002024353,0.321858685026104,48077
LONG,0,1.5,<20,10.0,20.0,120,-0.007155188551698388,0.9893054778337375,0.3309482704827672,48077
LONG,0,1.5,<20,10.0,25.0,10,-0.42648251762797185,0.4899375606358367,0.16386213782057948,48077
LONG,0,1.5,<20,10.0,25.0,20,-0.21317885891382582,0.7249993292012128,0.2248060403103355,48077
LONG,0,1.5,<20,10.0,25.0,30,-0.1301141918172931,0.8268517493356953,0.24853880233791625,48077
LONG,0,1.5,<20,10.0,25.0,60,-0.05010711982860827,0.9312284107453824,0.27139796576325476,48077
LONG,0,1.5,<20,10.0,25.0,120,-0.012833579466272949,0.9821247501231277,0.282047548723922,48077
LONG,0,1.5,<20,10.0,35.0,10,-0.614462216860453,0.32796078074525686,0.08567506291989933,48077
LONG,0,1.5,<20,10.0,35.0,20,-0.3747530003951994,0.5647752252578689,0.1389437776899557,48077
LONG,0,1.5,<20,10.0,35.0,30,-0.24595960646462967,0.7045301216861148,0.16756453189674897,48077
LONG,0,1.5,<20,10.0,35.0,60,-0.0926430517711172,0.8839590443686007,0.2016348773841962,48077
LONG,0,1.5,<20,10.0,35.0,120,-0.020477567235892447,0.9738248431351696,0.21767165172535724,48077
LONG,0,1.5,<20,10.0,50.0,10,-0.7816003494394409,0.18887473827357695,0.03639994176009318,48077
LONG,0,1.5,<20,10.0,50.0,20,-0.5676934916904133,0.3882276466500796,0.07205108471826445,48077
LONG,0,1.5,<20,10.0,50.0,30,-0.4154377352996235,0.5397183877583942,0.09742704411672941,48077
LONG,0,1.5,<20,10.0,50.0,60,-0.1800653118955009,0.7914327703760812,0.13665578135074985,48077
LONG,0,1.5,<20,10.0,50.0,120,-0.026811157102148653,0.9679982124680354,0.16219814048297523,48077
LONG,0,1.5,<20,10.0,75.0,10,-0.9022297564323897,0.08727169430182645,0.011502381596189446,48077
LONG,0,1.5,<20,10.0,75.0,20,-0.7623811801901117,0.2156934072282969,0.027955155271751565,48077
LONG,0,1.5,<20,10.0,75.0,30,-0.6508205586871061,0.3212984252310095,0.04107993427210516,48077
LONG,0,1.5,<20,10.0,75.0,60,-0.3932233708426066,0.5765483256803673,0.07138548578322275,48077
LONG,0,1.5,<20,10.0,75.0,120,-0.12342700251679595,0.8623808529882419,0.10312623499802401,48077
LONG,0,1.5,<20,10.0,100.0,10,-0.9354785032343949,0.059001987655612514,0.005865590615055016,48077
LONG,0,1.5,<20,10.0,100.0,20,-0.849221041246334,0.13897675988021427,0.01370717806851509,48077
LONG,0,1.5,<20,10.0,100.0,30,-0.7773779561952701,0.20656419836956522,0.02023836761861181,48077
LONG,0,1.5,<20,10.0,100.0,60,-0.5673398922561724,0.4094314294374919,0.03933273706762069,48077
LONG,0,1.5,<20,10.0,100.0,120,-0.2765355575431079,0.7039964377156852,0.06576949476880838,48077
LONG,0,1.5,<20,10.0,125.0,10,-0.9508600786238741,0.045666151726441485,0.0036399941760093184,48077
LONG,0,1.5,<20,10.0,125.0,20,-0.897227364436217,0.09588983672528348,0.0076127878195394886,48077
LONG,0,1.5,<20,10.0,125.0,30,-0.8354514632776587,0.15423975068960435,0.012188780497951203,48077
LONG,0,1.5,<20,10.0,125.0,60,-0.6877508995985606,0.29596508037900565,0.02312956299269921,48077
LONG,0,1.5,<20,10.0,125.0,120,-0.4103209434864905,0.5709376427344107,0.04367993011211182,48077
LONG,0,1.5,<20,12.5,20.0,10,-0.3341681053310314,0.5507954704319866,0.2560891902572956,48077
LONG,0,1.5,<20,12.5,20.0,20,-0.15510951182478105,0.7702224687249647,0.3249578800673919,48077
LONG,0,1.5,<20,12.5,20.0,30,-0.09134929384112978,0.8595747402078338,0.34948104083033465,48077
LONG,0,1.5,<20,12.5,20.0,60,-0.03586330261871584,0.9429997685873914,0.3708218066851093,48077
LONG,0,1.5,<20,12.5,20.0,120,-0.007092788651538062,0.9885250866507387,0.38188738898017766,48077
LONG,0,1.5,<20,12.5,25.0,10,-0.45468727250036395,0.44430321826224006,0.18177090916654534,48077
LONG,0,1.5,<20,12.5,25.0,20,-0.23198202882875385,0.6881936872711006,0.2560059903904154,48077
LONG,0,1.5,<20,12.5,25.0,30,-0.14181417309732303,0.8013634774501807,0.2860619423008923,48077
LONG,0,1.5,<20,12.5,25.0,60,-0.05102231836429061,0.9253704098086343,0.3163258938785698,48077
LONG,0,1.5,<20,12.5,25.0,120,-0.010961582461468056,0.9836472523039688,0.32967947251284396,48077
LONG,0,1.5,<20,12.5,35.0,10,-0.6388668178130916,0.29404247494713615,0.09503504794392328,48077
LONG,0,1.5,<20,12.5,35.0,20,-0.3998502402396157,0.5251556170338899,0.15793414730536431,48077
LONG,0,1.5,<20,12.5,35.0,30,-0.26595669446928893,0.6703686517143593,0.1931692909291345,48077
LONG,0,1.5,<20,12.5,35.0,60,-0.1014747176404518,0.867100710997303,0.23645402167356533,48077
LONG,0,1.5,<20,12.5,35.0,120,-0.0229881232190029,0.9690558853175046,0.2571083886265782,48077
LONG,0,1.5,<20,12.5,50.0,10,-0.7992803211514862,0.16729148156976617,0.040143935769702765,48077
LONG,0,1.5,<20,12.5,50.0,20,-0.5944006489589617,0.3531249292618331,0.08111987020820767,48077
LONG,0,1.5,<20,12.5,50.0,30,-0.4430808910705743,0.5013810214877581,0.11138382178588514,48077
LONG,0,1.5,<20,12.5,50.0,60,-0.19909728144434968,0.7629284723598178,0.16018054371113005,48077
LONG,0,1.5,<20,12.5,50.0,120,-0.04008153586954255,0.9503951399078436,0.19198369282609148,48077
LONG,0,1.5,<20,12.5,75.0,10,-0.9126401397757763,0.07582618952334814,0.012479980032031948,48077
LONG,0,1.5,<20,12.5,75.0,20,-0.7821827485076023,0.19269659303149353,0.031116750213199658,48077
LONG,0,1.5,<20,12.5,75.0,30,-0.6737109220625247,0.29335020507897724,0.04661272541963933,48077
LONG,0,1.5,<20,12.5,75.0,60,-0.4213865257815588,0.5406434936398884,0.0826590677454916,48077
LONG,0,1.5,<20,12.5,75.0,120,-0.1482413628138195,0.8312217301726383,0.1216798053123115,48077
LONG,0,1.5,<20,12.5,100.0,10,-0.9432784907544147,0.05073889563360824,0.006302389916176134,48077
LONG,0,1.5,<20,12.5,100.0,20,-0.864841816253094,0.12197233660648295,0.015017575971878446,48077
LONG,0,1.5,<20,12.5,100.0,30,-0.7957651267757971,0.18575745966883753,0.022692763691578095,48077
LONG,0,1.5,<20,12.5,100.0,60,-0.5898454562472699,0.3819901495009371,0.04557272708363667,48077
LONG,0,1.5,<20,12.5,100.0,120,-0.3030555151111759,0.6715065157595708,0.07743827609875824,48077
LONG,0,1.5,<20,12.5,125.0,10,-0.9574432680907711,0.03883819506796684,0.003868793809929904,48077
LONG,0,1.5,<20,12.5,125.0,20,-0.9075649478960834,0.08474398506492144,0.008403186554901512,48077
LONG,0,1.5,<20,12.5,125.0,30,-0.8505938390498575,0.13769399460188933,0.013582378268194771,48077
LONG,0,1.5,<20,12.5,125.0,60,-0.706221270045968,0.2744000170965743,0.02670715726854837,48077
LONG,0,1.5,<20,12.5,125.0,120,-0.42983131226990035,0.5466710540748053,0.051833517066372695,48077
LONG,0,1.5,<20,15.0,20.0,10,-0.36008902385756186,0.5038404218732088,0.2742475612039021,48077
LONG,0,1.5,<20,15.0,20.0,20,-0.17216825786412082,0.7331614012465075,0.35478503234394826,48077
LONG,0,1.5,<20,15.0,20.0,30,-0.1018921036393009,0.8343478064836106,0.38490338415458536,48077
LONG,0,1.5,<20,15.0,20.0,60,-0.03777967288585671,0.9357072905973829,0.4123801401917757,48077
LONG,0,1.5,<20,15.0,20.0,120,-0.00691252227329775,0.9879654776993179,0.42560891902572956,48077
LONG,0,1.5,<20,15.0,25.0,10,-0.48055549777787027,0.40319108631259903,0.19479168833329866,48077
LONG,0,1.5,<20,15.0,25.0,20,-0.25308706172736795,0.6484450993422131,0.280092351852237,48077
LONG,0,1.5,<20,15.0,25.0,30,-0.15774001428264384,0.7694373505208968,0.3158474946440086,48077
LONG,0,1.5,<20,15.0,25.0,60,-0.056957242201745695,0.911879860552427,0.35364103417434534,48077
LONG,0,1.5,<20,15.0,25.0,120,-0.011751981196830075,0.9813284864507601,0.3705930070511887,48077
LONG,0,1.5,<20,15.0,35.0,10,-0.6595738780151286,0.2654033559586413,0.10212783659546144,48077
LONG,0,1.5,<20,15.0,35.0,20,-0.42148359229291893,0.4900041107727414,0.1735549223121243,48077
LONG,0,1.5,<20,15.0,35.0,30,-0.28496647738696956,0.6372118066588992,0.21451005678390914,48077
LONG,0,1.5,<20,15.0,35.0,60,-0.11329741872413002,0.8456415778734981,0.266010774382761,48077
LONG,0,1.5,<20,15.0,35.0,120,-0.025660225610305565,0.9637412806646289,0.2923019323169083,48077
LONG,0,1.5,<20,15.0,50.0,10,-0.811711767927838,0.15141631150155113,0.043451130478191234,48077
LONG,0,1.5,<20,15.0,50.0,20,-0.6127878195394887,0.3270825243827231,0.08935665702934875,48077
LONG,0,1.5,<20,15.0,50.0,30,-0.4661411208408733,0.46836203760813533,0.12319820288287539,48077
LONG,0,1.5,<20,15.0,50.0,60,-0.2198071149752827,0.7319279910031034,0.1800445119287809,48077
LONG,0,1.5,<20,15.0,50.0,120,-0.05152845088781188,0.934032770588131,0.21887804979512032,48077
LONG,0,1.5,<20,15.0,75.0,10,-0.919129729392433,0.06831263572919521,0.013478378434594505,48077
LONG,0,1.5,<20,15.0,75.0,20,-0.7955779270753166,0.1763603867439006,0.03407034548744722,48077
LONG,0,1.5,<20,15.0,75.0,30,-0.6894980968030451,0.2728728421329707,0.05175031719949248,48077
LONG,0,1.5,<20,15.0,75.0,60,-0.4420200927678516,0.5126588084208595,0.09299665120535808,48077
LONG,0,1.5,<20,15.0,75.0,120,-0.16459013665578137,0.8087862165623565,0.13923497722403644,48077
LONG,0,1.5,<20,15.0,100.0,10,-0.9476950170213061,0.04579502537574959,0.006822389084177465,48077
LONG,0,1.5,<20,15.0,100.0,20,-0.873064736429755,0.11223676882186644,0.016556773509162386,48077
LONG,0,1.5,<20,15.0,100.0,30,-0.805450977945102,0.1735777649728607,0.025375959398464962,48077
LONG,0,1.5,<20,15.0,100.0,60,-0.6048422322524283,0.36228864668084826,0.05154231753229195,48077
LONG,0,1.5,<20,15.0,100.0,120,-0.31732429228113235,0.6516576856333912,0.08904465752854795,48077
LONG,0,1.5,<20,15.0,125.0,10,-0.961755794524062,0.03428710665552771,0.004097593443850489,48077
LONG,0,1.5,<20,15.0,125.0,20,-0.9132225388439379,0.07820701238715097,0.009297585123863802,48077
LONG,0,1.5,<20,15.0,125.0,30,-0.8606124896866831,0.12633994242558613,0.014934376104998232,48077
LONG,0,1.5,<20,15.0,125.0,60,-0.716371653805354,0.2611764201132658,0.030388751377997795,48077
LONG,0,1.5,<20,15.0,125.0,120,-0.4461384861784221,0.5257164337519901,0.05934230505231192,48077
LONG,0,1.5,<20,20.0,20.0,10,-0.4046633525386359,0.42382870342948525,0.297668323730682,48077
LONG,0,1.5,<20,20.0,20.0,20,-0.20635646982964828,0.6578847546467119,0.39682176508517586,48077
LONG,0,1.5,<20,20.0,20.0,30,-0.1266925972918443,0.7751070742874021,0.43665370135407783,48077
LONG,0,1.5,<20,20.0,20.0,60,-0.04673752521995961,0.910698672601542,0.47663123739002017,48077
LONG,0,1.5,<20,20.0,20.0,120,-0.008091187054100724,0.9839475095943548,0.49595440647294964,48077
LONG,0,1.5,<20,20.0,25.0,10,-0.5221727645235767,0.33703488525629177,0.21236766021174366,48077
LONG,0,1.5,<20,20.0,25.0,20,-0.2929467312852299,0.5728108222876035,0.3142458972065645,48077
LONG,0,1.5,<20,20.0,25.0,30,-0.18806809909104144,0.7057488284300963,0.3608586226262038,48077
LONG,0,1.5,<20,20.0,25.0,60,-0.07125548599122244,0.8786571975063757,0.4127753395594567,48077
LONG,0,1.5,<20,20.0,25.0,120,-0.014767976371237834,0.9737280296022202,0.43788089939056096,48077
LONG,0,1.5,<20,20.0,35.0,10,-0.6919212929259313,0.22078424023798926,0.11202862075420679,48077
LONG,0,1.5,<20,20.0,35.0,20,-0.46260685982902433,0.4250361925443359,0.19541568733490025,48077
LONG,0,1.5,<20,20.0,35.0,30,-0.32195228487634425,0.572688623250421,0.2465628054995112,48077
LONG,0,1.5,<20,20.0,35.0,60,-0.13725378039395142,0.8000015154270473,0.31372589803856316,48077
LONG,0,1.5,<20,20.0,35.0,120,-0.03377914595336651,0.9479236812570145,0.35135303783513944,48077
LONG,0,1.5,<20,20.0,50.0,10,-0.8326330677870916,0.1255515749923544,0.04781912348940242,48077
LONG,0,1.5,<20,20.0,50.0,20,-0.6442997691203693,0.28281354911902945,0.10162863739418017,48077
LONG,0,1.5,<20,20.0,50.0,30,-0.5032863947417683,0.4134750569641732,0.14191817293092332,48077
LONG,0,1.5,<20,20.0,50.0,60,-0.25525719158849347,0.675747086955373,0.21278365954614473,48077
LONG,0,1.5,<20,20.0,50.0,120,-0.07252948395282566,0.901321560970088,0.2649915760134784,48077
LONG,0,1.5,<20,20.0,75.0,10,-0.9294569128689394,0.05653146971264489,0.014851176238118019,48077
LONG,0,1.5,<20,20.0,75.0,20,-0.817220292447532,0.15007463170874163,0.03847993843209851,48077
LONG,0,1.5,<20,20.0,75.0,30,-0.7184204505272791,0.23630795763592544,0.05927990515215176,48077
LONG,0,1.5,<20,20.0,75.0,60,-0.47873203402874553,0.46225555477675756,0.10974062441500093,48077
LONG,0,1.5,<20,20.0,75.0,120,-0.1965596855045032,0.7634247089748404,0.169145329367473,48077
LONG,0,1.5,<20,20.0,100.0,10,-0.9563200698878882,0.03666687619167348,0.007279988352018637,48077
LONG,0,1.5,<20,20.0,100.0,20,-0.8880545791126735,0.09506146672318778,0.018657570147887763,48077
LONG,0,1.5,<20,20.0,100.0,30,-0.8236578821473886,0.15140150865763757,0.029390352975435238,48077
LONG,0,1.5,<20,20.0,100.0,60,-0.6322149884560184,0.32650121870152893,0.061297501923996925,48077
LONG,0,1.5,<20,20.0,100.0,120,-0.3455498471202445,0.612144841594098,0.10907502547995923,48077
LONG,0,1.5,<20,20.0,125.0,10,-0.9686336501861598,0.027157450542104493,0.004326393077771076,48077
LONG,0,1.5,<20,20.0,125.0,20,-0.9242985211223661,0.06594850236468734,0.010441583293466731,48077
LONG,0,1.5,<20,20.0,125.0,30,-0.8749870000208,0.1096607263799526,0.017243172410924143,48077
LONG,0,1.5,<20,20.0,125.0,60,-0.7338384258585187,0.23819420452582485,0.036711941260893985,48077
LONG,0,1.5,<20,20.0,125.0,120,-0.46963724858040223,0.4932955565529623,0.07315348295442728,48077
LONG,0,1.5,<20,25.0,20.0,10,-0.44203257274788366,0.35938988364381746,0.30998190402895354,48077
LONG,0,1.5,<20,25.0,20.0,20,-0.24064313497098405,0.5837596690052168,0.42186492501612,48077
LONG,0,1.5,<20,25.0,20.0,30,-0.15370759406784945,0.7098967534251953,0.4701624477400836,48077
LONG,0,1.5,<20,25.0,20.0,60,-0.05984566424693716,0.874719150047897,0.5223079643072571,48077
LONG,0,1.5,<20,25.0,20.0,120,-0.013232938827297869,0.970710372450624,0.5482039228737234,48077
LONG,0,1.5,<20,25.0,25.0,10,-0.5573351082638267,0.2842451116572283,0.22133244586808662,48077
LONG,0,1.5,<20,25.0,25.0,20,-0.3309066705493271,0.502734973275404,0.33454666472533645,48077
LONG,0,1.5,<20,25.0,25.0,30,-0.21983484826424277,0.6395662108242677,0.3900825758678786,48077
LONG,0,1.5,<20,25.0,25.0,60,-0.08991825613079024,0.835,0.4550408719346049,48077
LONG,0,1.5,<20,25.0,25.0,120,-0.02190236495621606,0.9571341339303888,0.48904881752189194,48077
LONG,0,1.5,<20,25.0,35.0,10,-0.7193002891195375,0.18542893484712866,0.11695821286685941,48077
LONG,0,1.5,<20,25.0,35.0,20,-0.4995028807953907,0.3688838663898452,0.20854046633525386,48077
LONG,0,1.5,<20,25.0,35.0,30,-0.3600765438775298,0.5090078847353792,0.2666347733843626,48077
LONG,0,1.5,<20,25.0,35.0,60,-0.16513925577719074,0.7467738334449654,0.3478586434261705,48077
LONG,0,1.5,<20,25.0,35.0,120,-0.04737816419493723,0.9214389183969096,0.3969257649187761,48077
LONG,0,1.5,<20,25.0,50.0,10,-0.8491170414127337,0.1059155916686743,0.050294319529088756,48077
LONG,0,1.5,<20,25.0,50.0,20,-0.6727749235601223,0.2448579366376392,0.10907502547995923,48077
LONG,0,1.5,<20,25.0,50.0,30,-0.5384279385152984,0.3636676499508358,0.15385735382823387,48077
LONG,0,1.5,<20,25.0,50.0,60,-0.29026353557834306,0.6197858485682369,0.23657882147388565,48077
LONG,0,1.5,<20,25.0,50.0,120,-0.09345425047319922,0.8660764851411369,0.3021819165089336,48077
LONG,0,1.5,<20,25.0,75.0,10,-0.9378496994404809,0.047348404817240654,0.015537575139879776,48077
LONG,0,1.5,<20,25.0,75.0,20,-0.8348482642427771,0.12919812548815413,0.041287933939305695,48077
LONG,0,1.5,<20,25.0,75.0,30,-0.7404164153337355,0.20819894565918545,0.06489589616656613,48077
LONG,0,1.5,<20,25.0,75.0,60,-0.5102023836761861,0.41860630481156674,0.12244940408095346,48077
LONG,0,1.5,<20,25.0,75.0,120,-0.2256588389458577,0.7201702347175651,0.19358529026353558,48077
LONG,0,1.5,<20,25.0,100.0,10,-0.9621440605695031,0.030515792341709806,0.007571187886099382,48077
LONG,0,1.5,<20,25.0,100.0,20,-0.9002641595773446,0.08141262362579056,0.019947168084531064,48077
LONG,0,1.5,<20,25.0,100.0,30,-0.8392162572539883,0.13290064688057424,0.03215674854920232,48077
LONG,0,1.5,<20,25.0,100.0,60,-0.6587765459575264,0.29297258683811056,0.06824469080849471,48077
LONG,0,1.5,<20,25.0,100.0,120,-0.3734010025583959,0.5730999714639018,0.1253197994883208,48077
LONG,0,1.5,<20,25.0,125.0,10,-0.9732928427314517,0.022355472912270438,0.004451192878091395,48077
LONG,0,1.5,<20,25.0,125.0,20,-0.9347297044324729,0.05499011649913782,0.010878382594587848,48077
LONG,0,1.5,<20,25.0,125.0,30,-0.8889281777149156,0.09430563502659631,0.01851197038084739,48077
LONG,0,1.5,<20,25.0,125.0,60,-0.7556419909728145,0.2122769357531603,0.04072633483786426,48077
LONG,0,1.5,<20,25.0,125.0,120,-0.4975560039103938,0.45697032984495245,0.08374066601493438,48077
LONG,0,1.5,<20,35.0,20.0,10,-0.49749063258641646,0.2686341576351667,0.3197786883540986,48077
LONG,0,1.5,<20,35.0,20.0,20,-0.2978792948216997,0.4615301978815288,0.4468040851134638,48077
LONG,0,1.5,<20,35.0,20.0,30,-0.20302550373062261,0.5880451952875351,0.5071655885350583,48077
LONG,0,1.5,<20,35.0,20.0,60,-0.08878911508027304,0.7886670485809056,0.5798614722216444,48077
LONG,0,1.5,<20,35.0,20.0,120,-0.029170467612966156,0.9236773566569484,0.6178006115190215,48077
LONG,0,1.5,<20,35.0,25.0,10,-0.6073441711064691,0.21221406409589333,0.22904923352122636,48077
LONG,0,1.5,<20,35.0,25.0,20,-0.39090566026522927,0.3936579632659646,0.3553050315119496,48077
LONG,0,1.5,<20,35.0,25.0,30,-0.276696014429234,0.5213473558680812,0.42192732491628016,48077
LONG,0,1.5,<20,35.0,25.0,60,-0.1270788823880739,0.7410759692926162,0.5092039852736235,48077
LONG,0,1.5,<20,35.0,25.0,120,-0.04189410439800445,0.9050246212503958,0.5588951057678307,48077
LONG,0,1.5,<20,35.0,35.0,10,-0.7559747904403353,0.13896851531591292,0.12201260477983235,48077
LONG,0,1.5,<20,35.0,35.0,20,-0.5537575139879776,0.28720214190093707,0.2231212430060112,48077
