context,side,hmm_state,vol_bucket,zscore,best_tp,best_sl,best_horizon,best_wr,best_expectancy,neighborhood_count,neighborhood_mean_wr,neighborhood_mean_expectancy,neighborhood_median_expectancy,neighborhood_positive_expectancy_ratio,neighborhood_wr_ge_50_ratio
A1,LONG,0,20-40,2.0,50.0,12.5,3,0.5154576063666972,1.5772880318334863,120,0.4962350780532598,1.1743345127562297,1.139628609325579,1.0,0.5416666666666666
C1,LONG,0,40-60,2.0,50.0,12.5,3,0.5021342646488165,1.5106713232440825,120,0.47773088863019014,1.088138701024324,1.0457072176949942,1.0,0.375
A2,LONG,0,20-40,2.5,50.0,12.5,3,0.5005807200929152,1.5029036004645762,120,0.4843979868370113,1.1185196016075807,1.07404181184669,1.0,0.375
D1,LONG,1,20-40,2.5,50.0,15.0,3,0.5047619047619047,1.1873015873015873,150,0.47939682539682543,0.977108238851096,0.9470238095238095,1.0,0.4
D2,LONG,1,20-40,3.0,50.0,15.0,3,0.5080645161290323,1.2016129032258065,150,0.47213261648745514,0.9393121266427717,0.912557603686636,1.0,0.36666666666666664
B1,LONG,2,60-80,3.5,11.0,3.0,9,0.5064935064935064,1.3636363636363633,539,0.5215285642001782,0.709247280460506,0.653061224489796,0.9981447124304267,0.6641929499072357
S2,SHORT,0,20-40,3.0,50.0,20.0,3,0.5060728744939271,0.771255060728745,90,0.46108861898335585,0.6596619754514491,0.6500144592249857,1.0,0.05555555555555555
S1,SHORT,2,80-100,2.0,30.0,20.0,3,0.5019955654101995,0.2549889135254988,126,0.4587125611515856,0.3128707223219419,0.30013858093126383,1.0,0.0873015873015873
S3,SHORT,1,20-40,3.5,50.0,10.0,3,0.3053097345132743,0.8318584070796458,90,0.3299410029498525,0.5270403146509341,0.5203539823008849,1.0,0.0
