side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,wr_ge_50,wr_ge_55,wr_ge_60,positive_expectancy
LONG,0,0-20,1.5,11227,5.0,5.0,1.0,10,0.4193462189364924,-0.16130756212701525,False,False,False,False
LONG,0,0-20,1.5,11227,10.0,5.0,2.0,10,0.277010777589739,-0.16896766723078294,False,False,False,False
LONG,0,0-20,1.5,11227,15.0,10.0,1.5,10,0.2925982007660105,-0.26850449808497373,False,False,False,False
LONG,0,0-20,1.5,11227,20.0,10.0,2.0,10,0.2066446958225705,-0.3800659125322885,False,False,False,False
LONG,0,0-20,1.5,11227,30.0,15.0,2.0,10,0.1276387280662688,-0.6170838158011936,False,False,False,False
LONG,0,0-20,1.5,11227,5.0,5.0,1.0,20,0.4379620557584395,-0.12407588848312101,False,False,False,False
LONG,0,0-20,1.5,11227,10.0,5.0,2.0,20,0.2946468335263205,-0.11605949942103855,False,False,False,False
LONG,0,0-20,1.5,11227,15.0,10.0,1.5,20,0.3342834238888394,-0.16429144027790143,False,False,False,False
LONG,0,0-20,1.5,11227,20.0,10.0,2.0,20,0.2565244499866393,-0.23042665004008211,False,False,False,False
LONG,0,0-20,1.5,11227,30.0,15.0,2.0,20,0.196312461031442,-0.411062616905674,False,False,False,False
LONG,0,0-20,1.5,11227,5.0,5.0,1.0,30,0.4438407410706333,-0.11231851785873337,False,False,False,False
LONG,0,0-20,1.5,11227,10.0,5.0,2.0,30,0.3042665004008194,-0.08720049879754188,False,False,False,False
LONG,0,0-20,1.5,11227,15.0,10.0,1.5,30,0.34924735013806,-0.12688162465484998,False,False,False,False
LONG,0,0-20,1.5,11227,20.0,10.0,2.0,30,0.2762091386835307,-0.1713725839494079,False,False,False,False
LONG,0,0-20,1.5,11227,30.0,15.0,2.0,30,0.2308720049879754,-0.3073839850360739,False,False,False,False
LONG,0,0-20,1.5,11227,5.0,5.0,1.0,60,0.4520352721118731,-0.09592945577625378,False,False,False,False
LONG,0,0-20,1.5,11227,10.0,5.0,2.0,60,0.315756658056471,-0.052730025830586946,False,False,False,False
LONG,0,0-20,1.5,11227,15.0,10.0,1.5,60,0.3672396900329562,-0.0819007749176095,False,False,False,False
LONG,0,0-20,1.5,11227,20.0,10.0,2.0,60,0.2949140464950565,-0.11525786051483056,False,False,False,False
LONG,0,0-20,1.5,11227,30.0,15.0,2.0,60,0.2751402868085864,-0.17457913957424087,False,False,False,False
LONG,0,0-20,1.5,11227,5.0,5.0,1.0,120,0.4537276209138683,-0.09254475817226337,False,False,False,False
LONG,0,0-20,1.5,11227,10.0,5.0,2.0,120,0.3204774205041418,-0.038567738487574554,False,False,False,False
LONG,0,0-20,1.5,11227,15.0,10.0,1.5,120,0.3838068940945934,-0.04048276476351653,False,False,False,False
LONG,0,0-20,1.5,11227,20.0,10.0,2.0,120,0.3134408123274249,-0.05967756301772542,False,False,False,False
LONG,0,0-20,1.5,11227,30.0,15.0,2.0,120,0.304088358421662,-0.08773492473501399,False,False,False,False
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,10,0.4274661508704062,-0.14506769825918764,False,False,False,False
LONG,0,0-20,2.0,4136,10.0,5.0,2.0,10,0.2756286266924564,-0.17311411992263082,False,False,False,False
LONG,0,0-20,2.0,4136,15.0,10.0,1.5,10,0.3010154738878143,-0.24746131528046422,False,False,False,False
LONG,0,0-20,2.0,4136,20.0,10.0,2.0,10,0.2168762088974855,-0.34937137330754353,False,False,False,False
LONG,0,0-20,2.0,4136,30.0,15.0,2.0,10,0.1414410058027079,-0.5756769825918763,False,False,False,False
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,20,0.4453578336557059,-0.10928433268858817,False,False,False,False
LONG,0,0-20,2.0,4136,10.0,5.0,2.0,20,0.2920696324951644,-0.12379110251450687,False,False,False,False
LONG,0,0-20,2.0,4136,15.0,10.0,1.5,20,0.3355899419729207,-0.16102514506769827,False,False,False,False
LONG,0,0-20,2.0,4136,20.0,10.0,2.0,20,0.2630560928433268,-0.2108317214700196,False,False,False,False
LONG,0,0-20,2.0,4136,30.0,15.0,2.0,20,0.206237911025145,-0.381286266924565,False,False,False,False
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,30,0.4521276595744681,-0.0957446808510638,False,False,False,False
LONG,0,0-20,2.0,4136,10.0,5.0,2.0,30,0.3048839458413926,-0.08534816247582222,False,False,False,False
LONG,0,0-20,2.0,4136,15.0,10.0,1.5,30,0.3500967117988394,-0.12475822050290153,False,False,False,False
LONG,0,0-20,2.0,4136,20.0,10.0,2.0,30,0.2790135396518375,-0.16295938104448748,False,False,False,False
LONG,0,0-20,2.0,4136,30.0,15.0,2.0,30,0.2379110251450677,-0.2862669245647969,False,False,False,False
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,60,0.4613152804642166,-0.07736943907156674,False,False,False,False
LONG,0,0-20,2.0,4136,10.0,5.0,2.0,60,0.3172147001934235,-0.0483558994197294,False,False,False,False
LONG,0,0-20,2.0,4136,15.0,10.0,1.5,60,0.3711315280464217,-0.07217117988394584,False,False,False,False
LONG,0,0-20,2.0,4136,20.0,10.0,2.0,60,0.2956963249516441,-0.11291102514506768,False,False,False,False
LONG,0,0-20,2.0,4136,30.0,15.0,2.0,60,0.2765957446808511,-0.17021276595744672,False,False,False,False
LONG,0,0-20,2.0,4136,5.0,5.0,1.0,120,0.4625241779497098,-0.07495164410058042,False,False,False,False
LONG,0,0-20,2.0,4136,10.0,5.0,2.0,120,0.3225338491295938,-0.03239845261121854,False,False,False,False
LONG,0,0-20,2.0,4136,15.0,10.0,1.5,120,0.3895067698259187,-0.026233075435203257,False,False,False,False
LONG,0,0-20,2.0,4136,20.0,10.0,2.0,120,0.3169729206963249,-0.049081237911025366,False,False,False,False
