side,hmm_state,zscore_threshold,stop_points,target_points,horizon_bars,observations,win_rate,stop_rate,timeout_rate,total_points,mean_points,profit_factor,mean_holding_bars
LONG,0,1.5,5.0,5.0,10,37243,0.42488521332867923,0.5751147866713208,0.0,-27975.0,-0.7511478667132079,0.7387833232177039,1.7099857691378246
LONG,0,1.5,5.0,10.0,10,37243,0.29578712778240207,0.704212872217598,0.0,-20975.0,-0.5631930832639691,0.8400503298127884,2.4341486990843917
LONG,0,1.5,5.0,15.0,10,37243,0.21069731224659669,0.7893026877534033,0.0,-29275.0,-0.7860537550680665,0.800823241257314,2.9705985017318692
LONG,0,1.5,5.0,20.0,10,37243,0.15178691297693525,0.8482130870230647,0.0,-44890.0,-1.2053271755766184,0.7157961380183603,3.3612759444727867
LONG,0,1.5,5.0,25.0,10,37243,0.11035630856805306,0.889643691431947,0.0,-62915.0,-1.6893107429584082,0.6202275676817675,3.6259968316193647
LONG,0,1.5,5.0,35.0,10,37243,0.0626694949386462,0.9373305050613538,0.0,-92855.0,-2.4932202024541525,0.46801684379386405,3.9215960046183174
LONG,0,1.5,5.0,50.0,10,37243,0.0303949735520769,0.9696050264479231,0.0,-123955.0,-3.3282764546357706,0.3134778876242696,4.10616760196547
LONG,0,1.5,5.0,75.0,10,37243,0.010606019923207045,0.9893939800767929,0.0,-154615.0,-4.1515184061434365,0.1607957012592271,4.209354778079102
LONG,0,1.5,5.0,100.0,10,37243,0.005209032569878903,0.9947909674301211,0.0,-165845.0,-4.4530515801627155,0.10472617344597696,4.235319388878447
LONG,0,1.5,10.0,5.0,10,37243,0.608892946325484,0.39110705367451604,0.0,-32275.0,-0.8666058051177402,0.778422353425786,2.2847514969255966
LONG,0,1.5,10.0,10.0,10,37243,0.4392771796042209,0.560722820395779,0.0,-45230.0,-1.2144564079155815,0.7834123449695924,3.4921998764868567
LONG,0,1.5,10.0,15.0,10,37243,0.3174824799291142,0.6825175200708858,0.0,-76830.0,-2.062938001772145,0.697745780715213,4.359691754155143
LONG,0,1.5,10.0,20.0,10,37243,0.22946593990817066,0.7705340600918293,0.0,-116050.0,-3.1160218027548803,0.5956023277694532,4.97290766049996
LONG,0,1.5,10.0,25.0,10,37243,0.16698439975297372,0.8330156002470263,0.0,-154765.0,-4.15554600864592,0.5011442753996905,5.3754531052815295
LONG,0,1.5,10.0,35.0,10,37243,0.09545417930886341,0.9045458206911365,0.0,-212455.0,-5.704561931101146,0.3693451674186654,5.821174448889725
LONG,0,1.5,10.0,50.0,10,37243,0.04639798082861209,0.9536020191713879,0.0,-268750.0,-7.216121150283275,0.24327748838518937,6.101629836479338
LONG,0,1.5,10.0,75.0,10,37243,0.01586875385978573,0.9841312461402143,0.0,-322195.0,-8.651155921918212,0.1209347375313762,6.25669253282496
LONG,0,1.5,10.0,100.0,10,37243,0.007545042021319443,0.9924549579786806,0.0,-341520.0,-9.170045377654862,0.0760240246739895,6.296001933249201
LONG,0,1.5,15.0,5.0,10,37243,0.69876218349757,0.30123781650243,0.0,-38165.0,-1.0247563300485998,0.7732121104079389,2.72343796149612
