side,hmm_state,vol_bucket,zscore,observations,tp,sl,rr,horizon,win_rate,expectancy_r,breakeven_wr,wr_edge_vs_breakeven,wr_ge_50,positive_expectancy,sufficient_sample,candidate,research_score,candidate_type
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,60,0.4057142857142857,0.21714285714285708,0.3333333333333333,0.07238095238095238,False,True,True,False,0.28971428571428565,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,120,0.4057142857142857,0.21714285714285708,0.3333333333333333,0.07238095238095238,False,True,True,False,0.28971428571428565,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,0,20-40,3.0,175,20.0,10.0,2.0,30,0.4,0.20000000000000007,0.3333333333333333,0.06666666666666671,False,True,True,False,0.28,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,60,0.4769230769230769,0.19230769230769218,0.4,0.07692307692307687,False,True,True,False,0.31730769230769224,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,120,0.4769230769230769,0.19230769230769218,0.4,0.07692307692307687,False,True,True,False,0.31730769230769224,POSITIVE_EXPECTANCY_BELOW_50_WR
LONG,2,60-80,3.5,101,20.0,10.0,2.0,120,0.396039603960396,0.18811881188118795,0.3333333333333333,0.06270627062706269,False,True,True,False,0.2732673267326732,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,0,20-40,3.0,175,30.0,15.0,2.0,120,0.3942857142857143,0.18285714285714294,0.3333333333333333,0.06095238095238098,False,True,True,False,0.27028571428571435,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,20.0,10.0,2.0,120,0.3923076923076923,0.17692307692307685,0.3333333333333333,0.05897435897435899,False,True,True,False,0.2669230769230769,POSITIVE_EXPECTANCY_BELOW_50_WR
LONG,2,60-80,3.5,101,20.0,10.0,2.0,60,0.3861386138613861,0.15841584158415822,0.3333333333333333,0.05280528052805278,False,True,True,False,0.25643564356435633,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,30,0.4615384615384615,0.15384615384615374,0.4,0.061538461538461486,False,True,True,False,0.29384615384615376,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,30,0.3846153846153846,0.15384615384615374,0.3333333333333333,0.051282051282051266,False,True,True,False,0.2538461538461538,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,60,0.3846153846153846,0.15384615384615374,0.3333333333333333,0.051282051282051266,False,True,True,False,0.2538461538461538,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,30.0,15.0,2.0,120,0.3846153846153846,0.15384615384615374,0.3333333333333333,0.051282051282051266,False,True,True,False,0.2538461538461538,POSITIVE_EXPECTANCY_BELOW_50_WR
LONG,1,20-40,3.0,359,30.0,15.0,2.0,120,0.3844011142061281,0.1532033426183843,0.3333333333333333,0.05106778087279479,False,True,True,False,0.2534818941504178,POSITIVE_EXPECTANCY_BELOW_50_WR
LONG,0,80-100,2.5,922,30.0,15.0,2.0,120,0.3817787418655097,0.14533622559652903,0.3333333333333333,0.04844540853217638,False,True,True,False,0.24902386117136646,POSITIVE_EXPECTANCY_BELOW_50_WR
LONG,1,20-40,3.0,359,20.0,10.0,2.0,120,0.3816155988857939,0.14484679665738165,0.3333333333333333,0.04828226555246057,False,True,True,False,0.2487465181058496,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,10,0.4538461538461538,0.13461538461538447,0.4,0.053846153846153766,False,True,True,False,0.28211538461538455,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,1,20-40,3.5,130,15.0,10.0,1.5,20,0.4538461538461538,0.13461538461538447,0.4,0.053846153846153766,False,True,True,False,0.28211538461538455,POSITIVE_EXPECTANCY_BELOW_50_WR
SHORT,0,20-40,3.0,175,30.0,15.0,2.0,60,0.3771428571428571,0.13142857142857134,0.3333333333333333,0.0438095238095238,False,True,True,False,0.24114285714285708,POSITIVE_EXPECTANCY_BELOW_50_WR
