window,feature,gain,gain_normalized
1,realized_vol_30,14.157842636108398,0.02726977446251943
1,ou_residual_60,13.620771408081055,0.02623530815045144
1,ou_residual_30,13.274330139160156,0.025568018965877005
1,rolling_range_15,13.092514038085938,0.025217818430570627
1,mean_distance_60,12.797861099243164,0.02465028004259137
1,realized_vol_15,12.191678047180176,0.023482695719355587
1,atr_5,12.15888786315918,0.02341953772658651
1,realized_vol_60,11.492727279663086,0.022136429181402666
1,atr_60,11.288475036621094,0.021743013832441715
1,normalized_vwap_distance,11.227831840515137,0.021626207457134356
1,vwap_distance_pct,11.002205848693848,0.021191623596585104
1,atr_15,10.886507987976074,0.020968775056121533
1,rolling_range_5,10.823678016662598,0.02084775667844616
1,atr_30,10.80339241027832,0.02080868406511425
1,realized_vol_5,10.578089714050293,0.020374722912285346
1,normalized_range_15,10.47805404663086,0.020182041713683933
1,rolling_range_60,10.38796329498291,0.02000851566584295
1,normalized_range_30,9.948406219482422,0.019161873799536846
1,past_return_30,9.930974006652832,0.019128297178828184
1,past_return_15,9.916289329528809,0.019100012655294513
1,vol_ratio_5_30,9.80260181427002,0.018881036291451863
1,mean_distance_30,9.69158935546875,0.01866721242069351
1,past_return_10,9.548748970031738,0.01839208398515968
1,normalized_range_60,9.539578437805176,0.018374420393894596
1,rolling_range_30,9.50709342956543,0.01831185020782319
1,mean_distance_15,9.429488182067871,0.018162372801500775
1,variance_ratio_5_60,9.366230964660645,0.018040531494448658
1,variance_ratio_5_30,9.239965438842773,0.017797328310182214
1,abs_zscore_15,9.191835403442383,0.017704623846375396
1,zscore_60,9.111259460449219,0.017549424509230315
1,autocorrelation_30,8.996086120605469,0.01732758626152837
1,normalized_ou_residual_60,8.905909538269043,0.01715389489305367
1,autocorrelation_60,8.891242980957031,0.01712564527054267
1,vol_ratio_5_60,8.877223014831543,0.017098641063472367
1,log_zscore_5,8.85959243774414,0.017064682368410217
1,past_return_5,8.81369400024414,0.016976276241080137
1,ar1_coefficient_30,8.811816215515137,0.016972659392993514
1,ar1_coefficient_60,8.754827499389648,0.016862892002890796
1,mean_distance_5,8.550789833068848,0.016469889955514145
1,mean_reversion_speed_60,8.495924949645996,0.016364213332648047
1,vwap_distance,8.461600303649902,0.01629809977432723
1,abs_zscore_30,8.457758903503418,0.016290700757520267
1,zscore_30,7.47925329208374,0.014405976649507518
1,mean_reversion_speed_30,7.393046855926514,0.014239932278790361
1,zscore_5,7.390533924102783,0.014235092058014206
1,past_return_3,7.3870320320129395,0.014228346976158403
1,log_zscore_30,7.16733980178833,0.013805192282087039
1,log_zscore_60,7.061306476593018,0.013600958844980412
1,past_return_1,6.953003406524658,0.01339235359555984
1,abs_zscore_5,6.661494255065918,0.012830870535014584
1,half_life_60,6.574651718139648,0.012663600954711965
1,zscore_15,6.556593418121338,0.012628818411825105
1,normalized_range_5,6.438254356384277,0.012400882588082765
1,normalized_ou_residual_30,6.431206703186035,0.01238730792715837
1,half_life_30,6.320054054260254,0.012173214032698273
1,zscore_direction_30,0.0,0.0
1,zscore_direction_15,0.0,0.0
1,zscore_direction_5,0.0,0.0
1,zscore_direction_60,0.0,0.0
2,atr_15,13.918022155761719,0.028144952026978
2,realized_vol_15,13.663787841796875,0.02763084071934583
2,realized_vol_30,13.090400695800781,0.02647134021443643
2,realized_vol_5,11.72773265838623,0.02371575999531371
2,ou_residual_30,11.589694023132324,0.023436618984930824
2,rolling_range_5,11.543110847473145,0.02334241872935434
2,vwap_distance_pct,11.499737739562988,0.02325470985608696
2,realized_vol_60,11.40174388885498,0.023056547200772177
2,atr_30,11.292119026184082,0.022834864373549545
2,atr_60,11.212946891784668,0.02267476289507744
2,mean_distance_60,11.158930778503418,0.022565531791694318
2,normalized_range_15,10.584942817687988,0.021404816322181615
2,log_zscore_60,10.463016510009766,0.021158257576835062
2,rolling_range_60,10.44222354888916,0.021116210158984385
2,normalized_range_60,10.400461196899414,0.021031758547963016
2,rolling_range_30,10.066014289855957,0.02035544175172825
2,rolling_range_15,10.048357963562012,0.020319737220512942
2,past_return_10,10.028599739074707,0.020279782241701298
2,ou_residual_60,9.972247123718262,0.02016582627597198
2,vol_ratio_5_30,9.91772747039795,0.02005557691654037
2,half_life_60,9.711601257324219,0.01963874956035879
2,normalized_range_30,9.704341888427734,0.01962406970232644
2,log_zscore_30,9.514349937438965,0.01923986896703179
2,variance_ratio_5_60,9.395413398742676,0.018999356116973128
2,past_return_30,9.366284370422363,0.018940451547380364
2,zscore_30,9.32756519317627,0.018862153828500514
2,atr_5,9.29755687713623,0.018801471167853388
2,zscore_60,9.170197486877441,0.01854392567116549
2,normalized_vwap_distance,9.084842681884766,0.018371321628370775
2,vwap_distance,8.706732749938965,0.01760670969023465
2,mean_distance_30,8.643364906311035,0.017478567566375277
2,mean_distance_15,8.593095779418945,0.017376913599383263
2,vol_ratio_5_60,8.574403762817383,0.017339114700613677
2,autocorrelation_30,8.492101669311523,0.01717268383511291
2,zscore_15,8.464505195617676,0.017116878389516206
2,autocorrelation_60,8.3193941116333,0.016823435510088667
2,mean_reversion_speed_30,8.289732933044434,0.016763454828990117
2,ar1_coefficient_60,8.239517211914062,0.01666190885885173
2,past_return_5,8.015890121459961,0.016209691319439504
2,past_return_15,7.989504814147949,0.01615633508820185
2,ar1_coefficient_30,7.937917232513428,0.016052014948885907
2,variance_ratio_5_30,7.935385704040527,0.016046895705172447
2,past_return_3,7.716800212860107,0.015604873261594173
2,zscore_5,7.468912601470947,0.01510359622290647
2,past_return_1,7.135686874389648,0.014429748890440809
2,abs_zscore_15,6.632680416107178,0.01341257184623273
2,abs_zscore_5,6.537797927856445,0.013220700971899363
2,normalized_ou_residual_60,6.4028000831604,0.012947709032369888
2,mean_distance_5,6.371160984039307,0.012883728610656637
2,mean_reversion_speed_60,6.329097270965576,0.012798667588818372
2,abs_zscore_30,6.1254377365112305,0.012386828337313709
2,normalized_range_5,5.925025939941406,0.01198155664447026
2,half_life_30,5.661686897277832,0.011449033801809864
2,log_zscore_5,5.409596920013428,0.010939258760702356
2,zscore_direction_5,0.0,0.0
2,zscore_direction_30,0.0,0.0
2,zscore_direction_15,0.0,0.0
2,zscore_direction_60,0.0,0.0
2,normalized_ou_residual_30,0.0,0.0
3,realized_vol_5,12.9293794631958,0.02511333343930101
3,realized_vol_60,12.881054878234863,0.025019470356475233
3,atr_60,12.655508041381836,0.02458138027363767
3,mean_distance_60,12.52899169921875,0.0243356417140025
3,rolling_range_5,12.329917907714844,0.023948971455055073
3,rolling_range_15,12.153603553771973,0.023606507907341406
3,half_life_60,12.112095832824707,0.023525885535678377
3,realized_vol_30,12.108512878417969,0.023518926197144737
3,realized_vol_15,11.987091064453125,0.023283082975930302
3,atr_15,11.158198356628418,0.02167308622270161
3,atr_5,11.107767105102539,0.021575131263692492
3,past_return_10,11.103116989135742,0.021566099127762226
3,rolling_range_60,11.010976791381836,0.02138713094789375
3,vwap_distance,11.005281448364258,0.021376068618981618
3,atr_30,10.790276527404785,0.020958454588353485
3,vwap_distance_pct,10.63305377960205,0.02065307355277846
3,normalized_ou_residual_60,10.478084564208984,0.020352069657729118
3,mean_distance_30,10.437978744506836,0.020274170263879353
3,ou_residual_60,10.414191246032715,0.020227966702249196
3,past_return_30,10.219818115234375,0.01985042675462258
3,normalized_range_60,10.148752212524414,0.019712392155514367
3,variance_ratio_5_30,9.759106636047363,0.018955565479255757
3,rolling_range_30,9.658660888671875,0.018760465045118066
3,zscore_30,9.60956859588623,0.018665110807775498
3,normalized_vwap_distance,9.532885551452637,0.018516165773755623
3,ar1_coefficient_30,9.469733238220215,0.01839350210654843
3,past_return_15,9.30736255645752,0.018078122000064548
3,autocorrelation_30,9.282279014587402,0.01802940107323151
3,normalized_range_30,9.22900676727295,0.017925927916327345
3,mean_reversion_speed_60,9.164027214050293,0.017799715116133607
3,ar1_coefficient_60,9.141528129577637,0.01775601410077945
3,autocorrelation_60,9.011838912963867,0.01750411271993017
3,log_zscore_60,8.967668533325195,0.01741831854278779
3,vol_ratio_5_60,8.890963554382324,0.01726933090435315
3,ou_residual_30,8.860832214355469,0.01721080540502649
3,normalized_range_15,8.738224029541016,0.016972657840683
3,zscore_60,8.627517700195312,0.016757627802264398
3,variance_ratio_5_60,8.595475196838379,0.01669539016175557
3,mean_reversion_speed_30,8.591246604919434,0.016687176771535143
3,abs_zscore_30,8.449882507324219,0.01641259872783551
3,past_return_1,8.085917472839355,0.015705652559437896
3,vol_ratio_5_30,8.059429168701172,0.015654203097694015
3,zscore_15,7.905006408691406,0.015354260608282086
3,past_return_5,7.8904337882995605,0.01532595553176805
3,abs_zscore_15,7.830270767211914,0.015209098105347036
3,log_zscore_5,7.826932907104492,0.015202614824839256
3,past_return_3,7.556056976318359,0.014676479940340185
3,log_zscore_30,7.055191993713379,0.01370362665283063
3,abs_zscore_5,6.966966152191162,0.013532261508631922
3,mean_distance_5,6.840181350708008,0.013286001508007341
3,mean_distance_15,6.709990501403809,0.013033125782716036
3,half_life_30,6.701059341430664,0.013015778376443077
