setup_quality_bucket,00-20%,20-40%,40-60%,60-80%,80-100%
00-20%,,1.0,1.0,4.0,6.0
20-40%,4.0,28.0,21.0,34.0,50.0
40-60%,10.0,35.0,41.0,42.0,96.0
60-80%,14.0,16.0,25.0,48.0,120.0
80-100%,6.0,20.0,47.0,103.0,199.0
