entry_timestamp,exit_timestamp,window,hmm_state,volatility,volatility_percentile,volatility_bucket,setup_strength,setup_strength_bucket,pnl_R,pnl_points,exit_reason,holding_bars,past_return_30,past_return_30_strength,directional_pressure_30,directional_pressure_30_strength,close_location_30,close_location_30_strength,normalized_momentum_30,normalized_momentum_30_strength
2024-12-27 09:44:00-05:00,2024-12-27 09:46:00-05:00,1,2,0.003196144956592746,0.9198666491204983,80-100%,0.9813180625292643,80-100%,1.3,26.0,target,2,-0.007993612474981284,0.9921893425451922,-0.677641255780945,0.999569886505536,0.0,0.9360102117268363,-2.5010168761253193,0.9975028093394931
2024-12-27 09:57:00-05:00,2024-12-27 10:01:00-05:00,1,2,0.004038849426731579,0.9663639952625346,80-100%,0.9466184252206206,80-100%,1.3,26.0,target,4,-0.007060705990661856,0.987444680290229,-0.37707434802172946,0.9522712767433471,0.07219917012448132,0.8778477675722174,-1.7481973811476557,0.9689099762766887
2024-12-27 10:06:00-05:00,2024-12-27 10:07:00-05:00,1,2,0.004325775025222909,0.9744790981269466,80-100%,0.9655085639791012,80-100%,-1.0,-20.0,stop,1,-0.007746829357858493,0.9911349731552004,-0.40039177729292713,0.9627327468990204,0.0,0.9360102117268363,-1.7908535031729476,0.9721563241353477
2024-12-27 10:08:00-05:00,2024-12-27 10:10:00-05:00,1,2,0.004386945164558135,0.9757029433697416,80-100%,0.9662785563632945,80-100%,-1.0,-20.0,stop,2,-0.007936066444779977,0.9919534967605887,-0.40369802421309525,0.9637733440630463,0.0,0.9360102117268363,-1.8090188381872148,0.9733771729027066
2024-12-27 10:11:00-05:00,2024-12-27 10:13:00-05:00,1,2,0.00426203657515556,0.9728736237224196,80-100%,0.9358458154397905,80-100%,1.3,26.0,target,2,-0.006136483589618718,0.9794259236137124,-0.3059049206196975,0.9079695868135528,0.022082018927444796,0.9218719649249383,-1.4398007810138849,0.9341157864069588
2024-12-27 10:14:00-05:00,2024-12-27 10:17:00-05:00,1,2,0.004308891966809876,0.9741851998069921,80-100%,0.9200328155578084,80-100%,1.3,26.0,target,3,-0.0056649210023340685,0.9734742858728375,-0.27967054213548537,0.8865471598634737,0.04261363636363636,0.9050975386408413,-1.3147048118099234,0.9150122778540808
2024-12-27 10:18:00-05:00,2024-12-27 10:19:00-05:00,1,2,0.004328693617754441,0.974531736632013,80-100%,0.9774227840582066,80-100%,-1.0,-20.0,stop,1,-0.009506502578171747,0.9966149193268684,-0.47721057560602925,0.9849599023226129,0.0,0.9360102117268363,-2.1961597233817054,0.9921061028565087
2024-12-27 10:20:00-05:00,2024-12-27 10:22:00-05:00,1,2,0.0043326928744797395,0.9746063078475238,80-100%,0.9656814912255142,80-100%,-1.0,-20.0,stop,2,-0.00903829380527513,0.9955466766554293,-0.4526000484158177,0.9793129283791658,0.04878048780487805,0.8992979437800039,-2.086068426061801,0.9885684160874572
2024-12-27 10:33:00-05:00,2024-12-27 10:35:00-05:00,1,2,0.003881534247491373,0.9610036408299337,80-100%,0.929231877398218,80-100%,-1.0,-20.0,stop,2,-0.005136312265921553,0.9643456666805399,-0.296093771716569,0.8999639259649804,0.0,0.9360102117268363,-1.3232685681547547,0.9166077052205158
2024-12-27 12:03:00-05:00,2024-12-27 12:09:00-05:00,1,2,0.0025820958736452945,0.8313374566828968,80-100%,0.9304552647755108,80-100%,1.3,26.0,target,6,-0.0046094547501662475,0.9524146446358958,-0.4030124205855158,0.9635929738879485,0.11949685534591195,0.8340871881677165,-1.7851601860386435,0.9717262524104826
