scope,window,regime,trades,wins,losses,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,best_day_R,worst_day_R,trades_per_day,mean_monthly_R,median_monthly_R,best_month_R,worst_month_R
S2_REGIME,2,60-80,45,23,22,0.5111111111111111,0.16338888888888883,1.2445,7.352499999999997,1.3456584081613463,-9.389500000000002,7,25,13,12,0.2940999999999999,0.18899999999999983,3.7335,-2.111,1.8,1.8381249999999991,0.6219999999999993,8.434499999999998,-2.3260000000000005
S2_REGIME,2,80-100,46,26,20,0.5652173913043478,0.23906521739130435,1.2445,10.997,1.546163397069779,-4.222000000000001,4,25,16,9,0.43987999999999977,0.18899999999999983,3.7335,-1.0555,1.84,2.749249999999999,2.4879999999999995,7.753999999999999,-1.7330000000000005
S2_REGIME,4,0-20,12,4,8,0.3333333333333333,0.003875000000000022,-0.25549999999999995,0.04650000000000026,1.0116061400224632,-1.4845,4,9,3,6,0.00516666666666669,-0.3304999999999999,1.139,-0.843,1.3333333333333333,0.015499999999999995,-0.18299999999999994,0.7655,-0.536
