window,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak
1,0,,,0.0,,,0
2,91,0.5384615384615384,0.20164285714285718,18.349500000000003,1.4431604115345604,-8.261999999999997,6
3,0,,,0.0,,,0
4,12,0.3333333333333333,0.003875000000000022,0.04650000000000026,1.0116061400224634,-1.4845,4
