past_return_30,directional_pressure_30,close_location_30,normalized_momentum_30,past_return_5,past_return_10,past_return_15,directional_pressure_5,directional_pressure_10,directional_pressure_15,close_location_5,close_location_10,close_location_15,normalized_momentum_10,normalized_momentum_15,realized_vol_5,realized_vol_15,realized_vol_30,realized_vol_60,vol_ratio_5_30,vol_ratio_5_60,variance_ratio_5_30,variance_ratio_5_60,direction_streak,up_streak,down_streak,state_probability_0,state_probability_1,state_probability_2,past_return_30_distance,directional_pressure_30_distance,close_location_30_distance,normalized_momentum_30_distance,target,pnl_R,pnl_points,entry_timestamp,exit_timestamp,holding_bars,exit_reason,window,xgb_probability,model
-0.006136483589618718,-0.3059049206196975,0.022082018927444796,-1.4398007810138849,-7.777216093870186e-05,-0.0029510982631694178,-0.004854701294985709,-0.018189889027452128,-0.37551882382186763,-0.4369273942011663,0.11764705882352941,0.07368421052631578,0.028397565922920892,-1.4996766011391376,-1.456062248892822,0.001967823103279598,0.0033341303221597735,0.00426203657515556,0.0053108184629598295,0.4617095767667772,0.3705310428146115,1.2790543996689392,1.6475190442714018,-1.0,0.0,1.0,2.3738380241831981e-32,0.008249901620961697,0.9917500983853659,-0.003999020867418733,-0.08935599662672278,-0.10754761070218483,-0.5330966235993438,1,1.3,26.0,2024-12-27 10:11:00-05:00,2024-12-27 10:13:00-05:00,2,target,1,0.6119964,xgboost
-0.0027505700913870047,-0.24536557596672393,0.02727272727272727,-1.0728676286112107,0.00010118555753437072,-0.0019542443633156124,-0.0032885720994544516,0.03831171100138685,-0.41610273792194125,-0.5452897753589466,0.05263157894736842,0.06569343065693431,0.030927835051546393,-1.4452141465377784,-1.7655687514847627,0.0013522178481281063,0.0018626134477566579,0.0025637553208195133,0.00424391298909489,0.5274363887798252,0.3186252525918297,1.6691348652546178,1.2182646190704876,-2.0,0.0,2.0,0.0002547049888033498,0.16631397414389068,0.8334313208688678,-0.0006131073691870194,-0.02881665197374922,-0.10235690235690235,-0.16616347119666963,0,-1.0,-20.0,2024-12-31 11:12:00-05:00,2024-12-31 11:18:00-05:00,6,stop,1,0.5887801,xgboost
-0.004046101713265416,-0.29393525244268764,0.12101910828025478,-1.3182603510553512,-0.0002032589186847658,-0.0007450808079981503,-0.0018616621552911394,-0.18752573636773587,-0.178317195447348,-0.25486327089527056,0.0,0.5816326530612245,0.4351145038167939,-1.251137278721407,-0.8280484544402614,0.0005955228260479791,0.0022482526780991012,0.003069273615053547,0.004082957633668625,0.19402728486869994,0.14585574465363457,0.22587952364111785,0.25528677898159496,-1.0,0.0,1.0,1.0386721345192149e-36,3.801530633261852e-12,1.0,-0.001908638991065431,-0.07738632844971294,-0.008610521349374844,-0.4115561936408102,0,-1.0,-20.0,2024-12-31 13:36:00-05:00,2024-12-31 13:44:00-05:00,8,stop,1,0.60746443,xgboost
-0.005326924861382715,-0.3713391285441315,0.030730897009966777,-1.000881891036869,0.0004214579088590529,-0.002593179574934842,-0.0023773379337005086,0.2387345126017168,-0.31508341169489895,-0.24577052230773408,0.6101694915254238,0.08872901678657075,0.08872901678657075,-2.9144378340357378,-0.6035907102161042,0.0008897700766339433,0.003938658918142308,0.005322231233361869,0.006157839309221982,0.16717989835851352,0.1444938771463918,0.16769471049097742,0.2505417663935588,1.0,1.0,-0.0,1.0706448106261381e-218,8.24313052059243e-38,1.0,-0.00318946213918273,-0.15479020455115677,-0.09889873261966284,-0.09417773362232806,0,-1.0,-20.0,2025-01-10 09:54:00-05:00,2025-01-10 09:58:00-05:00,4,stop,1,0.74514955,xgboost
-0.0030653626936574573,-0.2761867724524641,0.11910112359550562,-1.0985997155400113,0.00010234076070861678,0.0006028241926420893,-0.0021580862750441225,0.09475675344321761,0.2691201198199222,-0.43154023799708874,0.0,0.23255813953488372,0.43089430894308944,1.2047843579998117,-1.1262859614709253,0.000500358581715736,0.001916108651683512,0.0027902453007196465,0.0039040741974603783,0.17932422700853076,0.12816318451150904,0.19294307035324246,0.19710962236957336,-1.0,0.0,1.0,3.1800849975869405e-33,9.633662039084811e-12,0.9999999999854481,-0.000927899971457472,-0.059637848459489384,-0.010528506034124002,-0.19189555812547032,1,1.3,26.0,2025-01-10 14:20:00-05:00,2025-01-10 14:22:00-05:00,2,target,1,0.66713196,xgboost
-0.007490242118076569,-0.49487376775774927,0.11956521739130435,-2.234668361099649,-0.000529484225683176,0.0007140965255136031,-0.0001266413001997227,-0.3770467648174832,0.19877168710265514,-0.02186485222590421,0.0,0.6260162601626016,0.6260162601626016,1.0207246282552,-0.06809515929297948,0.0006995976248111706,0.0018597694977824841,0.0033518361151319677,0.003546914531805723,0.20872071329884404,0.197241184848908,0.2613860169598695,0.46684902000721323,-1.0,0.0,1.0,8.69578906201354e-52,5.235738839415112e-10,0.999999999476131,-0.0053527793958765835,-0.27832484376477457,-0.010064412238325271,-1.327964203685108,0,-1.0,-20.0,2025-01-14 15:21:00-05:00,2025-01-14 15:25:00-05:00,4,stop,1,0.7219449,xgboost
-0.004533747546938082,-0.21799184856996906,0.09198813056379822,-0.953395234740586,-7.434916397819347e-17,0.000689065010538017,-0.000388778739811053,-2.9687063814837315e-14,0.1846131347868834,-0.04800636483899839,0.2835820895522388,0.43478260869565216,0.4806201550387597,0.7812715234188439,-0.15419577646757326,0.0008819789149906152,0.0025213319632837778,0.004755370471483101,0.005755837491137156,0.1854700743674224,0.1532320737596722,0.2063948909151432,0.2817608211442754,1.0,1.0,-0.0,3.584312143602391e-137,2.2200558777162216e-31,1.0,-0.0023962848247380967,-0.0014429245769943533,-0.037641499065831405,-0.04669107732604494,1,1.3,26.0,2025-01-30 10:18:00-05:00,2025-01-30 10:20:00-05:00,2,target,1,0.7358996,xgboost
-0.005790738799234343,-0.32068255202036855,0.0,-1.3799137940891895,-0.003205166619043829,-0.002604979876268061,-0.0038383065141213884,-0.8182630301741537,-0.3753453816394796,-0.44309529487955857,0.0,0.0,0.0,-1.277509731502727,-1.4387033193048344,0.0020391076576801014,0.0026678929996324856,0.004196449679710981,0.006072795192585671,0.48591257212943384,0.3357774456430979,1.4166661665206535,1.3529579160312428,-2.0,0.0,2.0,8.822069215256571e-33,1.4168599695955675e-07,0.9999998583080114,-0.0036532760770343576,-0.10413362802739384,-0.12962962962962962,-0.47320963667464844,0,-1.0,-20.0,2025-01-30 10:31:00-05:00,2025-01-30 10:33:00-05:00,2,stop,1,0.66861147,xgboost
-0.004896905423215803,-0.23251840903312673,0.037300177619893425,-1.1065416446770484,-0.001316433668030575,-0.001957145892144122,-0.003035313112489453,-0.3836976954862059,-0.2432434588847585,-0.25205548912530173,0.11666666666666667,0.05865921787709497,0.056910569105691054,-1.1417698757948147,-0.8390523327435577,0.001714133411324855,0.0036175492207553943,0.004425414485547896,0.004572911296117191,0.3873385005907834,0.37484510420753336,0.9001866842394978,1.6861062257802788,1.0,1.0,-0.0,2.4862265792480053e-32,0.07888146740045579,0.9211185325990567,-0.0027594427010158174,-0.015969485040152026,-0.09232945200973619,-0.19983748726250739,1,1.3,26.0,2025-02-25 09:49:00-05:00,2025-02-25 09:52:00-05:00,3,target,1,0.5837068,xgboost
-0.007314315747271897,-0.32736099775074845,0.03229974160206718,-1.4588881181285038,-0.0007123675212914207,-0.004086384048889923,-0.0015823503459854744,-0.2750753379334873,-0.5096270429969179,-0.15037900679865304,0.30120481927710846,0.08143322475570032,0.06459948320413436,-3.038838248588077,-0.45956439679603023,0.0013447191704884466,0.0034431525962786307,0.005013623496128596,0.005929788473502417,0.268213034250938,0.22677354790940646,0.43162939045256915,0.6171149043770384,-1.0,0.0,1.0,7.216493735788551e-70,2.3793379658981596e-20,1.0,-0.005176853025071912,-0.11081207375777374,-0.09732988802756244,-0.5521839607139628,0,-1.0,-20.0,2025-02-25 10:08:00-05:00,2025-02-25 10:11:00-05:00,3,stop,1,0.62470716,xgboost
-0.004205377965070034,-0.3263334808812175,0.11136363636363636,-1.3850270197982972,-0.0005677947006962304,-0.001985872592268458,-0.0029829946183656674,-0.2474485943820582,-0.46901103400981836,-0.48064906368932075,0.6447368421052632,0.20416666666666666,0.196,-1.4749630743003264,-1.3469128830491939,0.0013463880058221052,0.0022146900931058347,0.0030363147469010874,0.004258354953836697,0.4434283393038389,0.3161756172084798,1.1797721525865632,1.1996042510059581,-2.0,0.0,2.0,4.300179261047561e-05,0.13038929497329843,0.869567703236885,-0.0020679152428700488,-0.10978455688824279,-0.018265993265993263,-0.4783228623837562,0,-1.0,-20.0,2025-02-26 14:01:00-05:00,2025-02-26 14:03:00-05:00,2,stop,1,0.5806598,xgboost
-0.004008795179670016,-0.23703105830365284,0.041666666666666664,-1.0502041766881474,-0.0026137863622290097,-0.0022051226867418677,-0.0012281940270675073,-0.9127559197305034,-0.44116056345803734,-0.16042277346113137,0.0,0.0,0.0,-1.5099804316671344,-0.5219717246656727,0.0014603650752660702,0.0023529895759280372,0.003817157909533249,0.0071947684607373205,0.3825791622659487,0.20297596555545191,0.8782008924006907,0.49439091111801614,-3.0,0.0,3.0,2.3943604266697442e-55,1.7109767591374074e-31,1.0,-0.0018713324574700305,-0.020482134310678135,-0.08796296296296297,-0.14350001927360634,1,1.3,26.0,2025-02-27 10:53:00-05:00,2025-02-27 10:57:00-05:00,4,target,1,0.5857614,xgboost
-0.006223460163062885,-0.3820089698762943,0.08275862068965517,-1.6611560743083027,-0.00036099612030104813,-0.003116571505768565,-0.001745546391801182,-0.116097240139211,-0.5313843475397735,-0.18209276482263934,0.45714285714285713,0.18532818532818532,0.1518987341772152,-1.8851802545944054,-0.6291750347123264,0.0016531954958541044,0.0027743414717643507,0.003746463236848051,0.004993297862268444,0.4412683086261804,0.3310828917991008,1.1683063211868596,1.3153905749046604,-1.0,0.0,1.0,1.7080370124785917e-15,4.644689186529619e-05,0.999953553111511,-0.0040859974408629,-0.16546004588331958,-0.04687100893997445,-0.7544519168937617,0,-1.0,-20.0,2025-02-28 13:04:00-05:00,2025-02-28 13:17:00-05:00,13,both_hit_conservative_stop,1,0.6280372,xgboost
-0.006429637347408212,-0.25535663530790503,0.09126984126984126,-1.2105624909336414,0.0007936736577657731,-0.001723207429527244,-0.0006551686718920839,0.18923234947245313,-0.21063131569961002,-0.056731439049560246,0.0,0.31797235023041476,0.3150684931506849,-0.7767955298854409,-0.19229122086857026,0.0022183539467347047,0.003407168922911396,0.005311280826526667,0.006806547540721312,0.4176683589493809,0.3259147068999416,1.0466811484048135,1.2746447540840982,-3.0,0.0,3.0,5.137468632940091e-41,3.8824442401064144e-10,0.9999999996070983,-0.0042921746252082265,-0.03880771131493033,-0.03835978835978836,-0.3038583335191004,0,-1.0,-20.0,2025-03-03 10:15:00-05:00,2025-03-03 10:21:00-05:00,6,stop,1,0.6325885,xgboost
-0.006300598200843076,-0.3189938229354738,0.029465930018416207,-1.4691352390004981,-0.0009628821448253988,-0.000164460159897081,-0.0018662086766500388,-0.5060571826785943,-0.026849092239243408,-0.19278130547254452,0.19753086419753085,0.06557377049180328,0.06557377049180328,-0.16527703531170665,-0.64953746362986,0.0009950575383138676,0.0028731347784328896,0.004288644117698507,0.006869762714259001,0.23202147602022605,0.14484598372641147,0.323003792007626,0.25176430802006233,1.0,1.0,-0.0,2.369218653175477e-94,6.229812077974501e-35,1.0,-0.0041631354786430905,-0.10244489894249909,-0.10016369961121341,-0.5624310815859571,1,1.3,26.0,2025-03-03 15:39:00-05:00,2025-03-03 15:43:00-05:00,4,target,1,0.6371726,xgboost
-0.008064225590419263,-0.3056980782131785,0.07049891540130152,-1.2567154634260915,0.0005589681831006948,-0.005265104835687568,-0.0037026969898888997,0.2848196953475606,-0.6761745116900653,-0.30967388711460125,0.9848484848484849,0.14942528735632185,0.12770137524557956,-4.673592386850557,-0.9562452940617346,0.0011265648349011498,0.003872120482979188,0.006416906471759609,0.009769139004968877,0.17556198455737027,0.1153187434765894,0.1849320625303339,0.15958095116423313,-1.0,0.0,1.0,0.0,4.081451372302111e-90,1.0,-0.005926762868219278,-0.08914915422020381,-0.05913071422832811,-0.3500113060115505,0,-1.0,-20.0,2025-03-04 10:24:00-05:00,2025-03-04 10:27:00-05:00,3,stop,1,0.62458,xgboost
