model,windows,trades,mean_WR,median_WR,mean_R,median_R,total_R,median_PF,worst_DD,worst_streak
baseline,4,971,0.47141059280278297,0.4754981860245018,0.0759612548953593,0.09431489563068511,84.15,1.1886377835848712,-12.600000000000001,13
xgboost,4,78,0.570508658008658,0.569047619047619,0.31216991341991346,0.30880952380952387,14.000000000000004,1.7166666666666668,-7.300000000000001,4
