quantile,barrier,horizon,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
0.85,1.00R,10,4,914,0.5397789722510803,0.5339675133614621,0.09567597428686218,0.08827639488953115,1.2492616969087558,1.2251544405008543,78.35,-14.05,7
0.85,1.00R,15,4,895,0.5362794864138549,0.5437064669023937,0.08630309826424501,0.09642304186095056,1.20616233072574,1.234299230080201,80.075,-14.0,7
0.85,1.00R,5,4,974,0.537188113260443,0.5285125348910911,0.07358894485683988,0.06878127199738546,1.2003112899035826,1.1844920962190901,69.125,-11.1375,7
0.85,0.75R,10,4,997,0.593982586262496,0.5848348691913846,0.061587955498226384,0.050634329645595666,1.1649829026366256,1.1445107581500835,51.525000000000006,-14.487499999999997,6
0.85,0.75R,15,4,987,0.5959842619354022,0.5879457118695579,0.06133592909432291,0.0483555750688237,1.1643270898240214,1.134813785351992,46.837500000000006,-15.087499999999999,6
0.8,1.00R,10,4,1292,0.5220515300302535,0.5184427222358294,0.06016039589842781,0.05537386195739814,1.1484739779797344,1.1392620487853355,68.25,-16.262499999999996,11
0.8,1.00R,15,4,1269,0.5248598009659957,0.533087937160452,0.055045828065739565,0.06643432179986007,1.124508368490487,1.1595837825107558,77.26249999999999,-14.5,11
0.8,1.00R,5,4,1406,0.5213917316439246,0.519197147690642,0.04834219156107862,0.051689544897474224,1.1318023437374238,1.141666368349862,71.5875,-13.962499999999999,7
0.85,0.67R,10,4,1030,0.6090622085097224,0.6012839936329569,0.04434827310370788,0.028078920103151238,1.1276112604560402,1.08361493059851,33.825,-14.167499999999833,6
0.85,0.75R,5,4,1040,0.5778149178373577,0.5636081356495481,0.04044055707779465,0.03357726588690916,1.115134066398178,1.0959673946797688,39.375,-13.787500000000005,7
0.8,0.75R,10,4,1425,0.5775725834228174,0.5772525873205615,0.03924057124622647,0.03932382613022518,1.111116218091293,1.1136793098442341,49.112500000000004,-17.8125,8
0.85,0.67R,15,4,1023,0.6096190842631781,0.6034737317989635,0.037241198537899194,0.02773960581530487,1.1027669251153642,1.0800112005266622,30.4225,-14.767499999999847,6
0.85,0.50R,10,4,1120,0.6784335355763926,0.6651309056791392,0.034391891891891894,0.021600775326250557,1.1222736544067655,1.0848994667851373,24.487499999999997,-15.95,6
0.8,0.75R,15,4,1406,0.5829652075499252,0.5867085966075524,0.03337341645065898,0.04240390635302641,1.0879507552454593,1.1207985821013,49.737500000000004,-18.6125,8
0.75,1.00R,15,4,1657,0.5166466586634655,0.5152198810558707,0.030564100640256102,0.026138583740061918,1.0671331057617595,1.0578019795588882,46.175,-16.1125,9
0.85,0.67R,5,4,1073,0.5926829268292683,0.5837321027538815,0.029443439790393627,0.02276563881411573,1.0860504769045771,1.0666968790392324,29.145000000000003,-13.967499999999838,7
