quantile,rr,horizon,windows,total_trades,median_WR,mean_WR,median_R,mean_R,median_PF,mean_PF,total_R,worst_DD,worst_streak
0.9,1.2,15,4,529,0.5212818003913895,0.5217105940847718,0.1593688845401174,0.1520952775801231,1.36112173944539,1.3515417474585116,71.925,-13.800000000000015,6
0.9,1.1,15,4,546,0.5453551912568306,0.5404235833290303,0.14584562841530058,0.1423600845316341,1.3450794624854412,1.344408143273993,66.375,-13.4,6
0.9,1.3,15,4,514,0.4971821756225426,0.49509754348754276,0.14574507389162564,0.13596596097496955,1.3296180738015995,1.3078151221541081,60.10000000000001,-22.19999999999999,7
0.9,1.3,10,4,522,0.4976010101010101,0.49621485540603183,0.14364898989898991,0.13776260096113038,1.3307132144341445,1.3317358878488175,63.150000000000006,-20.03749999999999,6
0.9,1.5,10,4,504,0.4718291054739653,0.4647004265274053,0.1430740987983979,0.12701555613974974,1.3083828076490545,1.2898297426006025,52.7375,-17.3375,8
0.9,1.2,10,4,535,0.5133939248983497,0.5157978396421573,0.14117734991628797,0.14263363109849486,1.3290838023308937,1.347102691439003,69.225,-14.262500000000014,6
0.9,2.0,10,4,477,0.43170838823012736,0.41700965629993764,0.14067028985507246,0.1304746836975897,1.3162664442948313,1.2787410894254412,47.4625,-15.9875,13
0.9,1.1,10,4,551,0.5394736842105263,0.5312126145293818,0.1383409380305603,0.13011560281496926,1.3535474188467709,1.326967123324618,61.57500000000002,-13.762500000000003,6
0.85,1.3,15,4,818,0.4941663093196112,0.48606272868215195,0.13238569361063465,0.10646841201132291,1.275484003019053,1.2322012510978662,94.175,-12.587499999999999,9
0.9,1.75,10,4,490,0.43776641091219093,0.4331252325421593,0.13228101023017905,0.11957227117013539,1.2696599650644393,1.2686552774698523,44.7875,-17.5875,10
0.9,1.75,15,4,480,0.4405882352941176,0.42391730605285594,0.13074492296918766,0.10573915834449721,1.2587769048031812,1.2115043465860997,35.262499999999996,-19.75,8
0.85,1.2,15,4,840,0.508938166956785,0.503324918718667,0.12844282146371,0.10306069644614071,1.282361264059388,1.230856465600647,92.41250000000001,-12.7625,9
0.85,1.3,10,4,841,0.4848931466470155,0.48403161685584606,0.12793824788574235,0.0932730437967269,1.2725547890272297,1.2181140506169432,88.9875,-12.875,7
0.9,1.0,15,4,555,0.5596236559139784,0.5597687245087134,0.12492741935483873,0.12775061700500556,1.3037940364981546,1.3172545496375738,62.712500000000006,-10.0,6
0.9,1.5,15,4,493,0.46603641456582634,0.45291907253792424,0.12315923502428497,0.11025542432775973,1.2530466895139978,1.22877963706537,42.112500000000004,-19.5,8
0.85,1.2,10,4,863,0.5025423446252334,0.4964611404952856,0.12048421245665511,0.0876657212386214,1.264460040404814,1.208083415888205,85.1,-11.7375,7
0.875,1.3,15,4,673,0.49327771649200225,0.4940105341891056,0.11837539069681925,0.11918354027729028,1.2543552706998564,1.2647436537864898,78.77499999999999,-11.1625,7
0.9,1.0,10,4,560,0.547514619883041,0.5444510007596927,0.11654265873015873,0.11549683207813394,1.299031033705313,1.29314623473261,57.275,-10.0,6
0.875,1.2,15,4,688,0.5093100526268843,0.5165011355729697,0.11590513781107842,0.12774431104435968,1.2556932063840258,1.2903972012843763,83.9375,-10.362499999999997,7
0.85,1.5,10,4,810,0.4414125805600573,0.45393521493983613,0.11058528530509176,0.07760118065453725,1.2208080652139048,1.1734806272963958,70.01249999999999,-13.787500000000001,8
0.875,1.3,10,4,688,0.48854087089381204,0.48914684050637747,0.11054258241758241,0.11195643237051905,1.2465549860604082,1.2547521903015264,75.7875,-11.325,6
0.875,1.2,10,4,701,0.5048387096774194,0.5068516559923223,0.10503833950290851,0.11636875046424251,1.2361187218374183,1.2702856341127244,78.9375,-8.175,6
0.85,1.5,15,4,780,0.45124020124020126,0.44584342568213536,0.10382649661495816,0.07994267855465127,1.2098130488617835,1.161418850275655,68.17500000000001,-13.2125,9
0.875,1.0,15,4,723,0.5488650876581911,0.557445364341916,0.10278222934472933,0.11985205567102118,1.250006771675697,1.2986442760541395,75.775,-9.0,7
0.825,1.3,10,4,1001,0.4787975546123593,0.476215745797753,0.10269484249055721,0.07758173572764017,1.213863993579181,1.175454719769787,87.74999999999999,-11.8875,10
0.85,2.0,10,4,748,0.4056485126859143,0.4201599528365383,0.09876257424794022,0.08322195450148542,1.220777723491096,1.175572300146794,63.2125,-14.637500000000001,9
0.85,1.75,10,4,776,0.4078125,0.43027571496194367,0.09869809144295301,0.0733884410165184,1.186623808860704,1.1640463826621867,63.01249999999999,-16.362499999999997,9
0.825,1.2,15,4,1003,0.4931913480300577,0.4936879200043337,0.09605025532444886,0.0865438860178394,1.2083985646672226,1.1880895182589164,90.27499999999999,-13.199999999999996,13
0.9,0.75,15,4,613,0.6176444910075083,0.6185839209972543,0.0959397372097084,0.09307699426686672,1.2717778600942817,1.2689728329947916,49.075,-8.25,5
0.85,1.0,10,4,914,0.5397789722510803,0.5339675133614621,0.09567597428686218,0.08827639488953115,1.2492616969087558,1.2251544405008543,78.35,-14.05,7
0.825,1.2,10,4,1030,0.5015287579562717,0.4938606332780467,0.0953752668115301,0.08166608607489487,1.2203614860649616,1.1862370632659383,88.8125,-13.0875,10
0.825,1.3,15,4,971,0.4754981860245018,0.47141059280278297,0.09431489563068511,0.0759612548953593,1.1886377835848712,1.1616668551908806,84.15,-12.600000000000001,13
0.875,1.5,10,4,660,0.4565625,0.456047093179377,0.09364930182599356,0.09723773685049678,1.2009150742574144,1.2069131749195923,61.375,-11.125,8
0.9,2.0,15,4,465,0.424992499249925,0.4021901271759829,0.09228735373537356,0.11060923809217657,1.1749493542669032,1.2168453728136113,35.225,-19.0,9
0.85,1.1,15,4,862,0.5125749091266332,0.5161587585902552,0.09221138057344956,0.09046140318861143,1.2124703718116527,1.215207225024348,75.55000000000003,-14.662499999999998,9
0.9,0.75,10,4,617,0.5979976243000169,0.6027121005467345,0.09198413371797046,0.08925308033996741,1.2634676996726353,1.2586218330940164,47.2375,-8.0,5
0.875,1.5,15,4,639,0.45293668954996186,0.45586608134823187,0.08934617032881408,0.0975665269381327,1.1741097823840496,1.1954969845584715,62.262499999999996,-11.325000000000001,8
0.875,1.0,10,4,733,0.5323244448255166,0.5378656634424405,0.08863642859184316,0.10532179322946505,1.221989736610026,1.2663942806892914,67.0,-11.0875,6
0.825,1.2,5,4,1124,0.5065068906162633,0.49509903733918154,0.08856975205821171,0.05812130852693601,1.2282117415005902,1.1476462648853065,78.875,-17.850000000000005,9
0.85,1.2,5,4,940,0.5096401028277635,0.496745464367279,0.08855133869691373,0.06686971119545175,1.2254547521538885,1.1663116515137375,75.39999999999999,-11.0,7
0.85,1.75,15,4,744,0.40568078324225865,0.41291496051968457,0.08749253582802548,0.06490093104875884,1.1547271610589531,1.1249154490175486,55.575,-18.362499999999997,9
0.85,1.0,15,4,895,0.5362794864138549,0.5437064669023937,0.08630309826424501,0.09642304186095056,1.20616233072574,1.234299230080201,80.075,-14.0,7
0.875,1.1,15,4,705,0.5176799007444168,0.5333181287403299,0.08559398263027299,0.12230570810830539,1.193877140470859,1.2958671977215832,77.21250000000002,-9.5,7
0.85,2.0,15,4,712,0.4029761904761905,0.40089598997493736,0.08491611842105262,0.08271103540100251,1.160439605981252,1.154544711847116,58.55,-16.112499999999997,9
0.825,1.3,5,4,1106,0.4926473085413483,0.4859642669965186,0.08461871108035982,0.054199537726414726,1.21353462205883,1.134039613316048,73.38750000000002,-20.2375,9
0.825,1.5,10,4,962,0.43875,0.44602655197033847,0.08422309417040359,0.060465248202520236,1.172844062157381,1.1280740512492362,64.4375,-13.3625,10
0.85,1.3,5,4,926,0.4989923134608174,0.48980420671587804,0.0841526565936015,0.06537929968696972,1.2064943237709593,1.1596965348083623,71.87500000000001,-11.537499999999998,7
0.9,0.67,15,4,630,0.6381535947712418,0.6371070744002729,0.08326858660130719,0.07583079341512247,1.2444396286311705,1.227180668428479,39.82000000000001,-10.830000000000004,5
0.875,1.75,10,4,626,0.428656462585034,0.42451037679712356,0.08249227507904569,0.08020877851696645,1.1669981921403871,1.1651903265822503,43.75,-18.2125,10
0.85,1.1,10,4,885,0.5142064286364167,0.506082133949302,0.07937143377048755,0.071932093696838,1.1932573783973237,1.1792792171616897,64.30000000000003,-14.062499999999998,7
0.9,0.5,15,4,675,0.7090036411784177,0.7009771963237764,0.07906520031421839,0.062318741765156005,1.2905896600821565,1.2332189498157011,32.275000000000006,-10.0,5
0.9,1.2,5,4,574,0.48942045172499377,0.487071336973608,0.07795009617771156,0.09071501722465825,1.2044756460896957,1.2314641779561344,50.33749999999999,-15.962500000000013,8
0.875,1.1,10,4,717,0.5116677308875601,0.5231696318671377,0.07718189470017994,0.11087909013036323,1.184660067891659,1.2724888369602505,70.2,-8.675,6
0.825,1.0,10,4,1100,0.5302679346040784,0.5263638683314468,0.07716791396780742,0.07492197416905527,1.1903801318208493,1.1846440386565584,81.4375,-13.787499999999998,9
0.825,1.5,15,4,927,0.437087892440821,0.4325434249458943,0.07628971058129533,0.055733748287273,1.1499639066331138,1.1092437536755353,58.0125,-14.8125,13
0.875,2.0,10,4,606,0.4287894645037502,0.4172929662088606,0.07624949000407998,0.10835084826385755,1.1555217568799705,1.2165364010849613,58.862500000000004,-16.9625,10
0.825,1.0,15,4,1079,0.5284770687936191,0.5371534807221605,0.07505908613445378,0.08682414168702163,1.1746516004515466,1.2061946231493157,87.5875,-14.1125,9
0.9,0.5,10,4,678,0.6928515318146111,0.689400128190611,0.07500981932443047,0.05863767679345798,1.2772263199566614,1.2208547359244166,30.625,-9.45,5
0.85,1.0,5,4,974,0.537188113260443,0.5285125348910911,0.07358894485683988,0.06878127199738546,1.2003112899035826,1.1844920962190901,69.125,-11.1375,7
0.875,1.3,5,4,748,0.49207791976331783,0.49142525953758637,0.07330742394268301,0.0912644798787547,1.177137301162741,1.2338153582818927,69.05000000000001,-11.137500000000001,8
0.8,1.3,15,4,1150,0.4762369636649364,0.4749534648204051,0.07293789783640489,0.05837786027504336,1.1510343968563497,1.1248692500594335,69.63749999999999,-17.21249999999999,15
0.825,1.1,15,4,1035,0.5005373793317132,0.5083455636283134,0.07231528190629269,0.08042162384166635,1.1625052693036229,1.183918543822463,77.55000000000003,-15.912499999999927,13
0.825,1.1,5,4,1148,0.5168866772640357,0.5081781335400801,0.07217801852235817,0.05880129962286832,1.187854131393224,1.1532593019363235,74.26250000000003,-18.8625,8
0.85,1.5,5,4,900,0.4729875197631782,0.4683625012619333,0.07201467702422318,0.05147007453244565,1.1702479651195017,1.1168719563895948,56.787499999999994,-12.299999999999999,9
0.9,0.67,10,4,634,0.6166931637519872,0.6205174838906456,0.07152404610492846,0.06849979634687815,1.2123618270372878,1.205984195316526,36.667500000000004,-10.830000000000004,5
0.825,1.0,5,4,1181,0.5302932158742497,0.5273770000939876,0.07033996199853176,0.06380141482279529,1.1882497118758817,1.1707681104030865,79.4125,-13.075,8
0.875,0.75,15,4,799,0.6037046004842614,0.6113747507748553,0.070306598062954,0.07904420941960486,1.1906369496176872,1.2269641526252433,50.1625,-15.9375,7
0.875,1.2,5,4,758,0.5014176204977423,0.499521768537127,0.07002378014631241,0.08742917279944541,1.171705522831961,1.2236145290917035,66.04999999999998,-11.2625,7
0.825,1.75,10,4,927,0.4123491315866942,0.42178396552547903,0.06974232923414099,0.05782358587111818,1.1306614600131943,1.1247984664129231,52.8625,-17.375,10
0.825,1.1,10,4,1059,0.5030864197530864,0.5048438397215045,0.06960781301212719,0.07454318702931942,1.1656305046113147,1.1768391163243008,75.28750000000002,-15.924999999999919,10
0.875,0.75,10,4,803,0.588276836158192,0.5958430939802211,0.06914325111258404,0.07850748457455686,1.1956111805594587,1.228257025863017,50.5125,-15.1125,6
0.875,2.0,15,4,582,0.4270687237026648,0.41340532959326787,0.06832997311827957,0.11290629090696586,1.1312509540486366,1.2115217077898617,58.324999999999996,-15.975,9
0.825,1.75,15,4,887,0.3983268983268983,0.4020191184270014,0.06659862808759869,0.04625494496024878,1.1172808993201557,1.08896778246748,45.6875,-21.2875,13
0.875,1.75,15,4,604,0.4264411711220222,0.4178898070212773,0.06514270403302636,0.07481582863598979,1.1282103799169567,1.1420980073694393,39.02499999999999,-15.2375,8
