volatility_bucket,trades,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,trades_per_day,profitable_days,losing_days,worst_day_R
00-10%,9,0.5555555555555556,0.5513888888888889,1.3,4.9625,4.227642276422764,-0.8999999999999999,2,1.2857142857142858,4,3,-0.5
10-20%,25,0.44,0.0355,-0.025,0.8875,1.1070889894419307,-5.249999999999999,3,1.3888888888888888,7,10,-1.325
20-30%,39,0.46153846153846156,0.008653846153846158,-0.25,0.33750000000000013,1.01941049604601,-3.675,5,1.3448275862068966,13,16,-2.0875
30-40%,61,0.4426229508196721,0.021106557377049202,-0.2875,1.2875000000000014,1.0460438086723292,-7.025,5,1.4523809523809523,21,21,-2.0
40-50%,61,0.5081967213114754,0.13401639344262295,0.2125,8.175,1.307764705882353,-5.5375,3,1.4878048780487805,20,20,-2.0375
50-60%,74,0.40540540540540543,-0.03479729729729731,-1.0,-2.575000000000001,0.9347894903450458,-11.474999999999998,8,1.3962264150943395,23,30,-2.0
60-70%,114,0.5263157894736842,0.1963815789473684,0.54375,22.3875,1.4486472945891782,-9.1,5,1.4074074074074074,46,35,-2.3875
70-80%,117,0.46153846153846156,0.05512820512820513,-1.0,6.45,1.1058461538461537,-11.100000000000001,6,1.6027397260273972,38,35,-4.0
80-90%,138,0.47101449275362317,0.06141304347826088,-0.71875,8.475000000000001,1.1210930523307732,-15.974999999999998,7,1.84,41,34,-3.0
90-100%,333,0.4804804804804805,0.1013888888888889,-1.0,33.7625,1.1951589595375725,-10.537500000000001,10,5.741379310344827,33,25,-4.1
