setup_quality_bucket,00-20%,20-40%,40-60%,60-80%,80-100%
00-20%,,0.0,1.0,0.75,0.5
20-40%,0.5,0.42857142857142855,0.5714285714285714,0.29411764705882354,0.46
40-60%,0.4,0.5428571428571428,0.3902439024390244,0.42857142857142855,0.5
60-80%,0.6428571428571429,0.5,0.48,0.5,0.425
80-100%,0.16666666666666666,0.3,0.425531914893617,0.5728155339805825,0.5025125628140703
