mc_max_drawdown_R,mc_worst_streak,mc_final_R
-4.369,4.0,18.395999999999997
-7.2905000000000015,6.0,18.396
-7.710499999999989,6.0,18.396
-6.987999999999992,6.0,18.395999999999994
-8.566500000000003,7.0,18.39599999999999
-5.599499999999999,6.0,18.395999999999994
-6.336500000000001,5.0,18.395999999999994
-8.190500000000004,5.0,18.395999999999997
-6.081000000000001,4.0,18.395999999999994
-8.693000000000003,6.0,18.395999999999997
-11.023999999999994,10.0,18.395999999999994
-11.232500000000003,7.0,18.395999999999994
-10.040999999999999,12.0,18.395999999999994
-4.380000000000003,5.0,18.395999999999994
-6.707500000000003,5.0,18.395999999999997
-7.067500000000003,7.0,18.39599999999999
-13.661000000000003,8.0,18.395999999999997
-7.603500000000002,5.0,18.395999999999994
-6.121500000000003,5.0,18.395999999999997
-7.879999999999988,5.0,18.395999999999997
-4.5784999999999965,4.0,18.396
-5.086000000000003,6.0,18.396
-4.552499999999997,5.0,18.395999999999994
-7.559000000000002,7.0,18.395999999999994
-7.010500000000002,3.0,18.39599999999999
-8.638000000000003,6.0,18.395999999999987
-6.124500000000001,6.0,18.395999999999994
-7.6335000000000015,5.0,18.395999999999994
-9.54899999999999,6.0,18.39599999999999
-5.726000000000001,7.0,18.395999999999994
-4.849000000000004,5.0,18.395999999999997
-7.0705000000000044,7.0,18.395999999999994
-8.674000000000003,7.0,18.395999999999997
-6.333000000000001,6.0,18.395999999999997
-8.176500000000003,6.0,18.395999999999994
-6.98899999999999,6.0,18.395999999999997
-7.31849999999999,5.0,18.395999999999997
-4.7105000000000015,6.0,18.39599999999999
-6.723000000000003,6.0,18.396
-6.169500000000001,5.0,18.395999999999994
-11.838000000000003,9.0,18.395999999999997
-5.388000000000001,4.0,18.396
-8.467500000000003,6.0,18.395999999999994
-8.743500000000003,6.0,18.395999999999994
-5.255000000000002,5.0,18.396
-7.146499999999991,6.0,18.395999999999997
-7.471500000000001,8.0,18.395999999999994
-5.277500000000002,7.0,18.395999999999997
-5.004000000000001,4.0,18.395999999999997
-5.769000000000001,4.0,18.395999999999994
-7.578499999999988,5.0,18.395999999999994
-5.825499999999991,5.0,18.395999999999994
-7.057000000000002,5.0,18.395999999999997
-4.661000000000001,4.0,18.395999999999997
-6.788500000000003,7.0,18.395999999999997
-5.766000000000001,4.0,18.395999999999997
-6.708999999999994,7.0,18.395999999999994
-8.467500000000001,10.0,18.395999999999994
-5.317500000000001,4.0,18.395999999999997
-5.254999999999994,4.0,18.395999999999994
-6.513500000000002,7.0,18.396
-8.209000000000001,6.0,18.395999999999994
-7.0859999999999985,7.0,18.39599999999999
-7.18,7.0,18.395999999999994
-5.168500000000002,4.0,18.395999999999994
-8.048999999999994,6.0,18.39599999999999
-6.106499999999992,6.0,18.395999999999997
-5.554500000000001,5.0,18.395999999999994
-7.998999999999992,7.0,18.395999999999994
-5.199999999999989,5.0,18.396
-6.9815000000000005,8.0,18.395999999999997
-5.4190000000000005,5.0,18.395999999999994
-9.290000000000003,5.0,18.395999999999994
-9.986500000000001,6.0,18.395999999999994
-4.152000000000003,4.0,18.39599999999999
-5.576999999999993,4.0,18.395999999999997
-6.769000000000002,6.0,18.395999999999994
-6.333000000000002,6.0,18.395999999999997
-4.3355000000000015,3.0,18.39599999999999
-6.766000000000003,5.0,18.396000000000004
-6.396000000000002,4.0,18.395999999999997
-12.848499999999996,8.0,18.395999999999994
-7.137000000000001,9.0,18.39599999999999
-8.249000000000002,5.0,18.395999999999994
-5.755500000000002,4.0,18.395999999999994
-5.862000000000002,4.0,18.395999999999994
-5.379000000000001,5.0,18.396
-6.631,4.0,18.395999999999994
-8.357500000000002,7.0,18.39599999999999
-9.709500000000004,5.0,18.395999999999994
-8.624500000000003,9.0,18.396000000000004
-7.067,4.0,18.395999999999997
-6.115000000000002,4.0,18.395999999999997
-6.3694999999999915,4.0,18.396
-4.819000000000001,4.0,18.395999999999994
-6.333000000000001,6.0,18.395999999999997
-8.603500000000002,9.0,18.395999999999994
-8.535000000000002,5.0,18.39599999999999
-12.958499999999985,6.0,18.395999999999994
-7.382500000000003,6.0,18.395999999999994
-7.1910000000000025,7.0,18.395999999999994
-6.120499999999993,6.0,18.396
-9.672500000000003,6.0,18.39599999999999
-4.502000000000001,5.0,18.396
-7.859499999999986,4.0,18.396
-12.315000000000003,11.0,18.395999999999994
-5.9875000000000025,5.0,18.396
-7.070000000000002,4.0,18.395999999999994
-6.068500000000002,6.0,18.39599999999999
-5.769000000000002,4.0,18.395999999999994
-7.176000000000001,7.0,18.395999999999994
-6.435000000000002,4.0,18.395999999999997
-8.358499999999992,6.0,18.396000000000004
-4.7375000000000025,4.0,18.396000000000004
-5.430500000000002,5.0,18.395999999999997
-9.993999999999986,7.0,18.395999999999994
-8.123,6.0,18.395999999999994
-7.148500000000004,7.0,18.39599999999999
-8.435500000000003,7.0,18.395999999999997
-9.801999999999985,8.0,18.396000000000004
-4.4885,4.0,18.396
-6.663499999999999,7.0,18.395999999999997
-8.853999999999985,7.0,18.396
-9.266000000000002,7.0,18.395999999999994
-6.144000000000002,5.0,18.39599999999999
-6.8119999999999905,6.0,18.395999999999997
-5.765999999999998,5.0,18.395999999999997
-6.224500000000003,4.0,18.395999999999994
-10.741500000000004,8.0,18.395999999999994
-6.416000000000001,4.0,18.395999999999994
-9.011500000000002,7.0,18.395999999999997
-6.120499999999993,6.0,18.396000000000004
-6.233500000000003,4.0,18.395999999999994
-11.418499999999986,9.0,18.395999999999994
-7.469999999999992,8.0,18.396
-7.609000000000002,6.0,18.395999999999994
-10.366000000000003,7.0,18.395999999999997
-5.576999999999991,5.0,18.396000000000004
-7.382,4.0,18.395999999999997
-7.769,8.0,18.395999999999997
-5.493500000000001,4.0,18.395999999999994
-5.303500000000001,5.0,18.396000000000004
-8.80899999999999,7.0,18.395999999999994
-7.14899999999999,6.0,18.395999999999994
-9.621500000000001,7.0,18.396
-6.623999999999988,6.0,18.395999999999997
-7.545000000000002,5.0,18.39599999999999
-8.360000000000003,6.0,18.395999999999994
-9.315500000000002,8.0,18.395999999999997
-11.300499999999998,6.0,18.395999999999994
-7.490999999999996,7.0,18.395999999999994
-7.510499999999993,5.0,18.396
-5.391000000000002,5.0,18.396
-6.129500000000001,4.0,18.395999999999994
-7.769000000000001,8.0,18.395999999999997
-7.22849999999999,6.0,18.395999999999994
-12.97949999999998,7.0,18.395999999999997
-6.0145,5.0,18.395999999999994
-8.254999999999992,6.0,18.395999999999994
-5.088500000000001,4.0,18.39599999999999
-6.548,5.0,18.395999999999997
-6.340500000000003,6.0,18.395999999999997
-7.188500000000003,6.0,18.395999999999994
-7.1860000000000035,4.0,18.395999999999997
-8.311999999999996,9.0,18.39599999999999
-6.120500000000002,6.0,18.395999999999987
-6.229999999999999,5.0,18.395999999999994
-5.221000000000002,6.0,18.395999999999994
-6.1335000000000015,5.0,18.39599999999999
-4.626000000000001,4.0,18.395999999999997
-9.964500000000003,8.0,18.395999999999997
-7.697499999999993,8.0,18.39599999999999
-7.963500000000003,7.0,18.39599999999999
-8.141500000000002,5.0,18.395999999999994
-5.277500000000001,6.0,18.395999999999997
-7.005000000000002,6.0,18.395999999999994
-4.713500000000001,5.0,18.395999999999994
-10.742000000000004,5.0,18.395999999999994
-11.063999999999988,5.0,18.395999999999994
-7.651499999999995,8.0,18.395999999999994
-6.794500000000003,7.0,18.395999999999994
-5.610499999999993,5.0,18.395999999999997
-8.119500000000002,7.0,18.395999999999994
-7.013500000000002,7.0,18.395999999999994
-4.222000000000001,4.0,18.395999999999994
-6.3915000000000015,4.0,18.396
-5.1960000000000015,4.0,18.395999999999994
-5.955000000000001,6.0,18.39599999999999
-5.544000000000002,5.0,18.395999999999994
-5.277500000000002,5.0,18.395999999999997
-9.715500000000002,5.0,18.395999999999994
-7.383500000000002,6.0,18.395999999999997
-9.775500000000003,6.0,18.395999999999997
-10.844000000000005,6.0,18.395999999999994
-10.551000000000002,6.0,18.39599999999999
-8.878000000000004,5.0,18.395999999999994
-4.380000000000003,5.0,18.395999999999997
-4.815000000000001,5.0,18.395999999999994
-5.922500000000002,4.0,18.395999999999997
-8.691000000000003,6.0,18.395999999999994
-12.255500000000001,10.0,18.395999999999994
-5.891000000000002,4.0,18.395999999999997
-8.146499999999996,7.0,18.395999999999994
-4.8995000000000015,4.0,18.395999999999994
-7.992000000000001,6.0,18.395999999999994
-6.740999999999994,5.0,18.395999999999994
-6.224500000000003,5.0,18.39599999999999
-12.174999999999985,6.0,18.395999999999997
-10.953499999999984,6.0,18.395999999999997
-4.5745000000000005,5.0,18.395999999999997
-10.056500000000003,6.0,18.395999999999997
-10.637999999999995,10.0,18.395999999999994
-3.844000000000001,4.0,18.395999999999994
-7.655999999999988,5.0,18.395999999999994
-7.271499999999998,7.0,18.395999999999997
-4.88,5.0,18.395999999999997
-7.555000000000002,8.0,18.396
-8.111000000000002,7.0,18.395999999999994
-7.446499999999999,6.0,18.39599999999999
-6.535500000000001,6.0,18.395999999999994
-10.038000000000004,8.0,18.395999999999994
-8.232500000000002,6.0,18.395999999999994
-6.714500000000004,6.0,18.395999999999997
-5.682500000000001,4.0,18.395999999999994
-5.623999999999995,4.0,18.395999999999997
-6.525499999999992,5.0,18.395999999999994
-5.728500000000001,5.0,18.395999999999994
-6.042000000000002,4.0,18.39599999999999
-4.552500000000001,6.0,18.395999999999997
-7.116000000000001,6.0,18.39599999999999
-5.566500000000002,5.0,18.39599999999999
