trades,win_rate,mean_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak,average_holding_bars,profitable_days,losing_days,daily_sharpe,window,tail_percent,rr,horizon,probability_threshold,model,auc
39,0.5128205128205128,0.20512820512820512,8.0,1.4210526315789478,-4.65,4,3.358974358974359,13,10,2.2182202152930217,1,9.999999999999998,1.35,12,0.54,xgboost,0.5161576704545454
30,0.6,0.41000000000000003,12.3,2.0250000000000004,-4.0,4,3.3,13,8,3.18691165514961,1,9.999999999999998,1.35,12,0.56,xgboost,0.5161576704545454
25,0.56,0.31600000000000006,7.900000000000002,1.7181818181818185,-4.0,4,3.36,11,7,2.4607829780508266,1,9.999999999999998,1.35,12,0.58,xgboost,0.5161576704545454
21,0.47619047619047616,0.1190476190476191,2.500000000000001,1.2272727272727273,-4.65,4,3.1904761904761907,9,7,1.028988318136072,1,9.999999999999998,1.35,12,0.6,xgboost,0.5161576704545454
215,0.4232558139534884,-0.00011627906976741047,-0.02499999999999325,0.9997932175351527,-22.05,7,3.572093023255814,18,19,-0.0025085013592951785,1,9.999999999999998,1.35,15,0.0,baseline,0.5270197966827179
61,0.4426229508196721,0.04016393442622955,2.4500000000000024,1.072058823529412,-10.6,9,3.098360655737705,15,14,0.49947904893679906,1,9.999999999999998,1.35,15,0.5,xgboost,0.5270197966827179
50,0.46,0.08100000000000004,4.0500000000000025,1.1500000000000004,-6.6,6,2.82,14,13,1.1633627229575692,1,9.999999999999998,1.35,15,0.52,xgboost,0.5270197966827179
46,0.45652173913043476,0.07282608695652178,3.350000000000002,1.1340000000000003,-6.0,6,2.9130434782608696,14,12,1.0287010277368929,1,9.999999999999998,1.35,15,0.54,xgboost,0.5270197966827179
42,0.47619047619047616,0.1190476190476191,5.000000000000002,1.2272727272727275,-5.949999999999999,5,2.9523809523809526,14,10,1.5885047629942242,1,9.999999999999998,1.35,15,0.56,xgboost,0.5270197966827179
31,0.4838709677419355,0.13709677419354843,4.250000000000002,1.2656250000000002,-4.3,3,3.096774193548387,11,9,1.4345314108448908,1,9.999999999999998,1.35,15,0.58,xgboost,0.5270197966827179
