window,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day
1,0,,,0.0,,,0,0,0,0,,,,,
2,91,0.5384615384615384,0.20164285714285718,18.349500000000003,1.4431604115345604,-8.261999999999997,6,38,22,16,0.48288157894736833,0.18900000000000006,-2.1109999999999998,6.4115,2.3947368421052633
3,0,,,0.0,,,0,0,0,0,,,,,
4,12,0.3333333333333333,0.003875000000000022,0.04650000000000026,1.0116061400224634,-1.4845,4,9,3,6,0.00516666666666669,-0.33049999999999996,-0.843,1.139,1.3333333333333333
