architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak,trading_days,profitable_days,losing_days,mean_daily_R,median_daily_R,worst_day_R,best_day_R,trades_per_day,positive_windows,total_windows
A_ALWAYS,717,0.502092050209205,0.08473709902370997,60.75650000000005,1.1728057089466803,-14.147999999999964,10,169,92,77,0.3595059171597637,0.13900000000000023,-4.2219999999999995,9.695,4.242603550295858,4,4
B_ALWAYS,600,0.49833333333333335,0.08729166666666668,52.375000000000014,1.1744492981226091,-15.1515,9,160,84,76,0.3273437500000001,0.18900000000000006,-4.1434999999999995,10.145,3.75,4,4
AB_ROUTER,103,0.5145631067961165,0.17860194174757282,18.396,1.4050867052023126,-8.261999999999997,6,47,25,22,0.391404255319149,0.18900000000000006,-2.1109999999999998,6.4115,2.1914893617021276,2,4
