volatility_bucket,setup_strength_bucket,trades,win_rate,mean_R,median_R,total_R,profit_factor,max_drawdown_R,longest_losing_streak
00-20%,80-100%,34,0.47058823529411764,0.17205882352941176,-0.0125,5.85,1.595419847328244,-4.625000000000001,5
20-40%,80-100%,100,0.45,0.016250000000000007,-0.26875,1.6250000000000009,1.035832414553473,-7.112500000000001,6
40-60%,80-100%,135,0.45185185185185184,0.041481481481481466,-0.325,5.599999999999998,1.0847842543527628,-8.4875,6
60-80%,80-100%,231,0.4935064935064935,0.12483766233766233,-0.2,28.8375,1.2601781887898957,-8.787499999999998,6
80-100%,80-100%,471,0.47770700636942676,0.08967622080679404,-1.0,42.23749999999999,1.173825814085087,-17.67500000000002,10
