window,architecture,trades,WR,mean_R,total_R,PF,max_DD_R,worst_streak
1,A_ALWAYS,309,0.4854368932038835,0.04660355987055023,14.400500000000022,1.0883401221995928,-13.524499999999959,10
1,B_ALWAYS,267,0.45692883895131087,0.00217790262172287,0.5815000000000063,1.0038929521833002,-15.1515,9
1,AB_ROUTER,0,,,0.0,,,0
2,A_ALWAYS,142,0.5211267605633803,0.12891901408450718,18.306500000000018,1.2731335044163286,-11.634999999999994,7
2,B_ALWAYS,119,0.5294117647058824,0.17391176470588238,20.695500000000003,1.3738484049279243,-8.483499999999998,5
2,AB_ROUTER,91,0.5384615384615384,0.20164285714285718,18.349500000000003,1.4431604115345604,-8.261999999999997,6
3,A_ALWAYS,105,0.5142857142857142,0.10664285714285722,11.197500000000009,1.2339245424918523,-7.957500000000001,6
3,B_ALWAYS,81,0.5308641975308642,0.11579629629629634,9.379500000000004,1.2451580020387358,-4.033000000000001,3
3,AB_ROUTER,0,,,0.0,,,0
4,A_ALWAYS,161,0.5093167701863354,0.1046708074534162,16.852000000000007,1.2287048158025098,-11.015999999999954,5
4,B_ALWAYS,133,0.5338345864661654,0.16329699248120302,21.718500000000002,1.3794220925560352,-6.501499999999989,4
4,AB_ROUTER,12,0.3333333333333333,0.003875000000000022,0.04650000000000026,1.0116061400224634,-1.4845,4
